Geo Point;Geo Shape;PTCAR ID;TAF/TAP code;Symbolic name;Abbreviation BTS French short;Abbreviation BTS Dutch short;Abbreviation BTS French complete;Abbreviation BTS Dutch complete;Short name in French;Short name in Dutch;Middle name in French;Middle name in Dutch;Complete name in French;Complete name in Dutch;Classification NL;Classification EN;Classification FR
50.67913489314789, 4.565488223292253;"{""coordinates"": [4.565488223292253, 50.67913489314789], ""type"": ""Point""}";937;BE00937;LTR;OTTIGNIES-R;OTTIGNIES-R;OTTIGNIES-RELAIS;OTTIGNIES-RELAIS;Ottignies-R;Ottignies-R;Ottignies-Relais;Ottignies-Relais;Ottignies-Relais;Ottignies-Relais;Station;Station;Gare
50.41817472864429, 4.533684811110712;"{""coordinates"": [4.533684811110712, 50.41817472864429], ""type"": ""Point""}";265;BE00265;FCLCW;CHATELET-CW;CHATELET-CW;CHATELET-CARWASH;CHATELET-CARWASH;Châtelet-Cw;Châtelet-Cw;Châtelet-Carwash;Châtelet-Carwash;Châtelet-Carwash;Châtelet-Carwash;Dienstinstallatie;Service installation;Installation de service
50.60521551802041, 5.549682651103612;"{""coordinates"": [5.549682651103612, 50.60521551802041], ""type"": ""Point""}";1375;BE01375;RPETF;R.PTE-FOLIE;R.PTE-FOLIE;RACC.PETITE-FOLIE;RACC.PETITE-FOLIE;R.Pte-Folie;R.Pte-Folie;Racc.Petite-Folie;Racc.Petite-Folie;Racc.Petite-Folie;Racc.Petite-Folie;Verbinding;Connection;Raccordement
49.69105337140581, 5.767483908888061;"{""coordinates"": [5.767483908888061, 49.69105337140581], ""type"": ""Point""}";1108;BE01108;MKMR;STOCKEM-RACC;STOCKEM-RACC;STOCKEM-RACCORDEMENTS;STOCKEM-RACCORDEMENTS;Stockem-Racc;Stockem-Racc;Stockem-Racc.;Stockem-Racc.;Stockem-Raccordements;Stockem-Raccordements;Station;Station;Gare
51.30668400152134, 4.293915995341998;"{""coordinates"": [4.293915995341998, 51.30668400152134], ""type"": ""Point""}";1748;BE01748;VOIL1;V.OILTANK1;V.OILTANK1;VERB.OILTANKING 1;VERB.OILTANKING 1;V.Oiltank1;V.Oiltank1;Verb.Oiltanking 1;Verb.Oiltanking 1;Verb.Oiltanking 1;Verb.Oiltanking 1;Verbinding;Connection;Raccordement
51.316613001517126, 4.287575995345113;"{""coordinates"": [4.287575995345113, 51.316613001517126], ""type"": ""Point""}";1762;BE01762;VVTA;V.VESTA TERM;V.VESTA TERM;VERB.VESTA TERMINAL ANTWERP;VERB.VESTA TERMINAL ANTWERP;V.Vesta Term;V.Vesta Term;Verb.Vesta Terminal;Verb.Vesta Terminal;Verb.Vesta Terminal Antwerp;Verb.Vesta Terminal Antwerp;Verbinding;Connection;Raccordement
51.1905170014511, 3.222696995695276;"{""coordinates"": [3.222696995695276, 51.1905170014511], ""type"": ""Point""}";213;BE00213;FRV;BRUGGE-U/V;BRUGGE-U/V;BRUGGE-BUNDELS U/V;BRUGGE-BUNDELS U/V;Brugge-U/V;Brugge-U/V;Brugge-Bundels U/V;Brugge-Bundels U/V;Brugge-Bundels U/V;Brugge-Bundels U/V;Station;Station;Gare
50.82812010974146, 4.321977787924144;"{""coordinates"": [4.321977787924144, 50.82812010974146], ""type"": ""Point""}";225;BE00225;FBKIF;BRUXELL-PI-F;BRUSSEL-KE-F;BRUXELLES-PETITE-ILE-FAISC.F;BRUSSEL-KLEIN-EILAND-BUNDEL F;Bruxell-PI-F;Brussel-KE-F;Bruxelles-PI-Faisc.F;Brussel-KE-Bundel F;Bruxelles-Petite-Ile-Faisc.F;Brussel-Klein-Eiland-Bundel F;Station;Station;Gare
51.2847155804189, 4.266391534901935;"{""coordinates"": [4.266391534901935, 51.2847155804189], ""type"": ""Point""}";1823;BE01823;KALIS;B.KALISHOEK;B.KALISHOEK;ANTWERPEN-W.H.-B.KALISHOEK;ANTWERPEN-W.H.-B.KALISHOEK;B.Kalishoek;B.Kalishoek;Antw-WH-B.Kalishoek;Antw-WH-B.Kalishoek;Antwerpen-W.H.-B.Kalishoek;Antwerpen-W.H.-B.Kalishoek;Station;Station;Gare
50.79977243101962, 4.302387081967852;"{""coordinates"": [4.302387081967852, 50.79977243101962], ""type"": ""Point""}";1023;BE01023;FRBB;RUISBR-BUND;RUISBR-BUND;RUISBROEK-BUNDEL;RUISBROEK-BUNDEL;Ruisbr-Bund;Ruisbr-Bund;Ruisbroek-Bundel;Ruisbroek-Bundel;Ruisbroek-Bundel;Ruisbroek-Bundel;Station;Station;Gare
51.29831459982247, 4.375399170266941;"{""coordinates"": [4.375399170266941, 51.29831459982247], ""type"": ""Point""}";180;BE00180;FNDA2;ANTW-ND-A2;ANTW-ND-A2;ANTWERPEN-NOORD-BUNDEL A2;ANTWERPEN-NOORD-BUNDEL A2;Antw-Nd-A2;Antw-Nd-A2;Antw-Nd-Bundel A2;Antw-Nd-Bundel A2;Antwerpen-Noord-Bundel A2;Antwerpen-Noord-Bundel A2;Station;Station;Gare
51.291269529808076, 4.246016983394258;"{""coordinates"": [4.246016983394258, 51.291269529808076], ""type"": ""Point""}";1824;BE01824;KROMM;B.KROMMENHK;B.KROMMENHK;ANTWERPEN-W.H.-B.KROMMENHOEK;ANTWERPEN-W.H.-B.KROMMENHOEK;B.Krommenhk;B.Krommenhk;Antw-WH-B.Krommenhk;Antw-WH-B.Krommenhk;Antwerpen-W.H.-B.Krommenhoek;Antwerpen-W.H.-B.Krommenhoek;Station;Station;Gare
50.454166724471605, 4.831459017628888;"{""coordinates"": [4.831459017628888, 50.454166724471605], ""type"": ""Point""}";1012;BE01012;FEOCL;RONET-CLI;RONET-CLI;RONET-C.L.I.;RONET-C.L.I.;Ronet-CLI;Ronet-CLI;Ronet-C.L.I.;Ronet-C.L.I.;Ronet-C.L.I.;Ronet-C.L.I.;Dienstinstallatie;Service installation;Installation de service
51.04089300155157, 3.685176995524686;"{""coordinates"": [3.685176995524686, 51.04089300155157], ""type"": ""Point""}";1498;BE01498;FGSPB;GENT-ST-P-B;GENT-ST-P-B;GENT-SINT-PIETERS-BUNDEL B;GENT-SINT-PIETERS-BUNDEL B;Gent-St-P-B;Gent-St-P-B;Gent-St-P-Bundel B;Gent-St-P-Bundel B;Gent-Sint-Pieters-Bundel B;Gent-Sint-Pieters-Bundel B;Station;Station;Gare
51.27099800154873, 4.431169995291412;"{""coordinates"": [4.431169995291412, 51.27099800154873], ""type"": ""Point""}";675;BE00675;LBWB;LUCHTB-WIJKB;LUCHTB-WIJKB;LUCHTBAL-WIJKBUNDEL;LUCHTBAL-WIJKBUNDEL;Luchtb-Wijkb;Luchtb-Wijkb;Luchtbal-Wijkbundel;Luchtbal-Wijkbundel;Luchtbal-Wijkbundel;Luchtbal-Wijkbundel;Station;Station;Gare
51.082359753411055, 3.733661584934324;"{""coordinates"": [3.733661584934324, 51.082359753411055], ""type"": ""Point""}";2017;BE02017;GGDOK;GROOT DOK;GROOT DOK;GENT-ZEEHAVEN-GROOT DOK;GENT-ZEEHAVEN-GROOT DOK;Groot Dok;Groot Dok;Gent-Zeehaven-Gr.Dok;Gent-Zeehaven-Gr.Dok;Gent-Zeehaven-Groot Dok;Gent-Zeehaven-Groot Dok;Station;Station;Gare
51.29347186317338, 4.371250112152559;"{""coordinates"": [4.371250112152559, 51.29347186317338], ""type"": ""Point""}";56;BE00056;FNDC2;ANTW-ND-C2;ANTW-ND-C2;ANTWERPEN-NOORD-BUNDEL C2;ANTWERPEN-NOORD-BUNDEL C2;Antw-Nd-C2;Antw-Nd-C2;Antw-Nd-Bundel C2;Antw-Nd-Bundel C2;Antwerpen-Noord-Bundel C2;Antwerpen-Noord-Bundel C2;Station;Station;Gare
51.02283000156589, 3.760409995497392;"{""coordinates"": [3.760409995497392, 51.02283000156589], ""type"": ""Point""}";194;BE00194;FKRCL;MERELBEKE-C;MERELBEKE-C;MERELBEKE-CENTRAAL;MERELBEKE-CENTRAAL;Merelbeke-C;Merelbeke-C;Merelbeke-Centraal;Merelbeke-Centraal;Merelbeke-Centraal;Merelbeke-Centraal;Station;Station;Gare
50.936263455001104, 5.303919561361893;"{""coordinates"": [5.303919561361893, 50.936263455001104], ""type"": ""Point""}";524;BE00524;FHSA;HASSELT-AFW;HASSELT-AFW;HASSELT-AFWISSELING;HASSELT-AFWISSELING;Hasselt-Afw;Hasselt-Afw;Hasselt-Afwisseling;Hasselt-Afwisseling;Hasselt-Afwisseling;Hasselt-Afwisseling;Station;Station;Gare
51.016043796798364, 3.773463842633946;"{""coordinates"": [3.773463842633946, 51.016043796798364], ""type"": ""Point""}";823;BE00823;FKRCH;MERELB-CHW;MERELB-CHW;MERELBEKE-C.H.W.;MERELBEKE-C.H.W.;Merelb-CHW;Merelb-CHW;Merelbeke-C.H.W.;Merelbeke-C.H.W.;Merelbeke-C.H.W.;Merelbeke-C.H.W.;Dienstinstallatie;Service installation;Installation de service
51.290535528059834, 4.391907370797812;"{""coordinates"": [4.391907370797812, 51.290535528059834], ""type"": ""Point""}";1501;BE01501;RNITW;ANTW-N-INTW;ANTW-N-INTW;ANTWERPEN-NOORD-INRIT T.W.;ANTWERPEN-NOORD-INRIT T.W.;Antw-N-InTW;Antw-N-InTW;Antw-Nd-Inrit T.W.;Antw-Nd-Inrit T.W.;Antwerpen-Noord-Inrit T.W.;Antwerpen-Noord-Inrit T.W.;Rooster;Grid;Gril
50.44335309571135, 3.933450966367221;"{""coordinates"": [3.933450966367221, 50.44335309571135], ""type"": ""Point""}";295;BE00295;LCSA;CUESMES-AC;CUESMES-AC;CUESMES-A.C.;CUESMES-A.C.;Cuesmes-AC;Cuesmes-AC;Cuesmes-A.C.;Cuesmes-A.C.;Cuesmes-A.C.;Cuesmes-A.C.;Dienstinstallatie;Service installation;Installation de service
51.2997080037674, 4.366277995753054;"{""coordinates"": [4.366277995753054, 51.2997080037674], ""type"": ""Point""}";1908;BE01908;RGE9;ANT-ND-RGE.9;ANT-ND-RGE.9;ANTWERPEN-ND-BL.9-ROOSTER G/E;ANTWERPEN-ND-BL.9-ROOSTER G/E;Ant-Nd-RGE.9;Ant-Nd-RGE.9;Antw-Nd-R.G/E.9;Antw-Nd-R.G/E.9;Antwerpen-Nd-Bl.9-Rooster G/E;Antwerpen-Nd-Bl.9-Rooster G/E;Rooster;Grid;Gril
51.29557300377058, 4.38512899574802;"{""coordinates"": [4.38512899574802, 51.29557300377058], ""type"": ""Point""}";1909;BE01909;RDE9;ANT-ND-RDE.9;ANT-ND-RDE.9;ANTWERPEN-ND-BL.9-ROOSTER D/E;ANTWERPEN-ND-BL.9-ROOSTER D/E;Ant-Nd-RDE.9;Ant-Nd-RDE.9;Antw-Nd-R.D/E.9;Antw-Nd-R.D/E.9;Antwerpen-Nd-Bl.9-Rooster D/E;Antwerpen-Nd-Bl.9-Rooster D/E;Rooster;Grid;Gril
51.28755547654501, 4.285676802072544;"{""coordinates"": [4.285676802072544, 51.28755547654501], ""type"": ""Point""}";1833;BE01833;VLLH;V.LLH;V.LLH;VERB.LIEFKENSHOEK LOGISTIC HUB;VERB.LIEFKENSHOEK LOGISTIC HUB;V.LLH;V.LLH;Verb.Liefkenshoek LH;Verb.Liefkenshoek LH;Verb.Liefkenshoek Logistic Hub;Verb.Liefkenshoek Logistic Hub;Verbinding;Connection;Raccordement
50.93692497381621, 5.306750842282782;"{""coordinates"": [5.306750842282782, 50.93692497381621], ""type"": ""Point""}";525;BE00525;FHSW;HASSELT-TW;HASSELT-TW;HASSELT-T.W.;HASSELT-T.W.;Hasselt-TW;Hasselt-TW;Hasselt-T.W.;Hasselt-T.W.;Hasselt-T.W.;Hasselt-T.W.;Dienstinstallatie;Service installation;Installation de service
50.90785130424338, 4.42129701052312;"{""coordinates"": [4.42129701052312, 50.90785130424338], ""type"": ""Point""}";1571;BE01571;YMCHL;Y.MACHELEN;Y.MACHELEN;Y.MACHELEN;Y.MACHELEN;Y.Machelen;Y.Machelen;Y.Machelen;Y.Machelen;Y.Machelen;Y.Machelen;Vertakking;Junction;Bifurcation
51.013635472641845, 3.77915158581341;"{""coordinates"": [3.77915158581341, 51.013635472641845], ""type"": ""Point""}";2048;BE02048;FMLTW;MELLE-TW;MELLE-TW;MELLE-T.W.;MELLE-T.W.;Melle-TW;Melle-TW;Melle-T.W.;Melle-T.W.;Melle-T.W.;Melle-T.W.;Dienstinstallatie;Service installation;Installation de service
51.29181500152026, 4.234264995361079;"{""coordinates"": [4.234264995361079, 51.29181500152026], ""type"": ""Point""}";1457;BE01457;VITCR;V.ITC RUBIS;V.ITC RUBIS;VERB.ITC RUBIS;VERB.ITC RUBIS;V.ITC Rubis;V.ITC Rubis;Verb.ITC Rubis;Verb.ITC Rubis;Verb.ITC Rubis;Verb.ITC Rubis;Verbinding;Connection;Raccordement
51.017121981936995, 4.488365222267253;"{""coordinates"": [4.488365222267253, 51.017121981936995], ""type"": ""Point""}";816;BE00816;FMW;MECHELEN-CW;MECHELEN-CW;MECHELEN-C.W.;MECHELEN-C.W.;Mechelen-CW;Mechelen-CW;Mechelen-C.W.;Mechelen-C.W.;Mechelen-C.W.;Mechelen-C.W.;Dienstinstallatie;Service installation;Installation de service
50.81790861737226, 3.249461734896629;"{""coordinates"": [3.249461734896629, 50.81790861737226], ""type"": ""Point""}";1690;BE01690;LKOP;KORTRIJK-TOP;KORTRIJK-TOP;KORTRIJK-T.O.P.;KORTRIJK-T.O.P.;Kortrijk-TOP;Kortrijk-TOP;Kortrijk-T.O.P.;Kortrijk-T.O.P.;Kortrijk-T.O.P.;Kortrijk-T.O.P.;Dienstinstallatie;Service installation;Installation de service
50.41311733145626, 4.531066437419218;"{""coordinates"": [4.531066437419218, 50.41311733145626], ""type"": ""Point""}";2088;BE02088;RAPRM;RACC.APERAM;RACC.APERAM;RACC.APERAM;RACC.APERAM;Racc.Aperam;Racc.Aperam;Racc.Aperam;Racc.Aperam;Racc.Aperam;Racc.Aperam;Verbinding;Connection;Raccordement
51.292624001536815, 4.391642995307065;"{""coordinates"": [4.391642995307065, 51.292624001536815], ""type"": ""Point""}";48;BE00048;FNDB3;ANTW-ND-B3;ANTW-ND-B3;ANTWERPEN-NOORD-BUNDEL B3;ANTWERPEN-NOORD-BUNDEL B3;Antw-Nd-B3;Antw-Nd-B3;Antw-Nd-Bundel B3;Antw-Nd-Bundel B3;Antwerpen-Noord-Bundel B3;Antwerpen-Noord-Bundel B3;Station;Station;Gare
50.877000001722195, 4.718680995154479;"{""coordinates"": [4.718680995154479, 50.877000001722195], ""type"": ""Point""}";716;BE00716;FLVP;LEUVEN-P;LEUVEN-P;LEUVEN-BUNDEL P;LEUVEN-BUNDEL P;Leuven-P;Leuven-P;Leuven-Bundel P;Leuven-Bundel P;Leuven-Bundel P;Leuven-Bundel P;Station;Station;Gare
50.889965602575195, 4.713252196534129;"{""coordinates"": [4.713252196534129, 50.889965602575195], ""type"": ""Point""}";2097;BE02097;FLVF;LEUVEN-F;LEUVEN-F;LEUVEN-BUNDEL F;LEUVEN-BUNDEL F;Leuven-F;Leuven-F;Leuven-Bundel F;Leuven-Bundel F;Leuven-Bundel F;Leuven-Bundel F;Station;Station;Gare
50.61231055874444, 4.350260827251606;"{""coordinates"": [4.350260827251606, 50.61231055874444], ""type"": ""Point""}";125;BE00125;FSU;BAULERS;BAULERS;BAULERS;BAULERS;Baulers;Baulers;Baulers;Baulers;Baulers;Baulers;Station;Station;Gare
51.15592800374791, 3.748242995887943;"{""coordinates"": [3.748242995887943, 51.15592800374791], ""type"": ""Point""}";1926;BE01926;FZNKN;B.ZANDEKEN;B.ZANDEKEN;EVERGEM-BUNDEL ZANDEKEN;EVERGEM-BUNDEL ZANDEKEN;B.Zandeken;B.Zandeken;Evergem-B.Zandeken;Evergem-B.Zandeken;Evergem-Bundel Zandeken;Evergem-Bundel Zandeken;Station;Station;Gare
51.296742411052506, 4.372743730563758;"{""coordinates"": [4.372743730563758, 51.296742411052506], ""type"": ""Point""}";47;BE00047;FNDB2;ANTW-ND-B2;ANTW-ND-B2;ANTWERPEN-NOORD-BUNDEL B2;ANTWERPEN-NOORD-BUNDEL B2;Antw-Nd-B2;Antw-Nd-B2;Antw-Nd-Bundel B2;Antw-Nd-Bundel B2;Antwerpen-Noord-Bundel B2;Antwerpen-Noord-Bundel B2;Station;Station;Gare
50.89048741099339, 4.715212056034138;"{""coordinates"": [4.715212056034138, 50.89048741099339], ""type"": ""Point""}";718;BE00718;FLVM;LEUVEN-M;LEUVEN-M;LEUVEN-BUNDEL M;LEUVEN-BUNDEL M;Leuven-M;Leuven-M;Leuven-Bundel M;Leuven-Bundel M;Leuven-Bundel M;Leuven-Bundel M;Station;Station;Gare
51.195105758708074, 4.366867799655071;"{""coordinates"": [4.366867799655071, 51.195105758708074], ""type"": ""Point""}";42;BE00042;FNKL;ANTW-KIEL;ANTW-KIEL;ANTWERPEN-KIEL;ANTWERPEN-KIEL;Anvers-Kiel;Antw-Kiel;Anvers-Kiel;Antwerpen-Kiel;Anvers-Kiel;Antwerpen-Kiel;Station;Station;Gare
50.88072700168401, 4.385454995269895;"{""coordinates"": [4.385454995269895, 50.88072700168401], ""type"": ""Point""}";817;BE00817;FSRM;SCHAERBEEK-M;SCHAARBEEK-M;SCHAERBEEK-FAISCEAU M;SCHAARBEEK-BUNDEL M;Schaerbeek-M;Schaarbeek-M;Schaerbeek-Faisc. M;Schaarbeek-Bundel M;Schaerbeek-Faisceau M;Schaarbeek-Bundel M;Station;Station;Gare
50.707651778207, 4.595155144797867;"{""coordinates"": [4.595155144797867, 50.707651778207], ""type"": ""Point""}";153;BE00153;FBRG;BIERGES-WAL;BIERGES-WAL;BIERGES-WALIBI;BIERGES-WALIBI;Bierges-Wal;Bierges-Wal;Bierges-Walibi;Bierges-Walibi;Bierges-Walibi;Bierges-Walibi;Stopplaats;Stop in open track;Point d'arrêt
50.98889804389831, 4.157254201988882;"{""coordinates"": [4.157254201988882, 50.98889804389831], ""type"": ""Point""}";542;BE00542;LEZ;HEIZIJDE;HEIZIJDE;HEIZIJDE;HEIZIJDE;Heizijde;Heizijde;Heizijde;Heizijde;Heizijde;Heizijde;Stopplaats;Stop in open track;Point d'arrêt
50.69384598089478, 4.549496108321164;"{""coordinates"": [4.549496108321164, 50.69384598089478], ""type"": ""Point""}";975;BE00975;LPF;PROFONDSART;PROFONDSART;PROFONDSART;PROFONDSART;Profondsart;Profondsart;Profondsart;Profondsart;Profondsart;Profondsart;Stopplaats;Stop in open track;Point d'arrêt
50.13309074777786, 5.276553146611916;"{""coordinates"": [5.276553146611916, 50.13309074777786], ""type"": ""Point""}";418;BE00418;MFR;FORRIERES;FORRIERES;FORRIERES;FORRIERES;Forrières;Forrières;Forrières;Forrières;Forrières;Forrières;Stopplaats;Stop in open track;Point d'arrêt
51.03878033373764, 3.756083021687756;"{""coordinates"": [3.756083021687756, 51.03878033373764], ""type"": ""Point""}";447;BE00447;FUGE;GENTBRUGGE;GENTBRUGGE;GENTBRUGGE;GENTBRUGGE;Gentbrugge;Gentbrugge;Gentbrugge;Gentbrugge;Gentbrugge;Gentbrugge;Stopplaats;Stop in open track;Point d'arrêt
51.02202332433806, 4.800439914572373;"{""coordinates"": [4.800439914572373, 51.02202332433806], ""type"": ""Point""}";132;BE00132;GBD;BEGIJNENDIJK;BEGIJNENDIJK;BEGIJNENDIJK;BEGIJNENDIJK;Begijnendijk;Begijnendijk;Begijnendijk;Begijnendijk;Begijnendijk;Begijnendijk;Stopplaats;Stop in open track;Point d'arrêt
50.98190383220303, 4.57399271193005;"{""coordinates"": [4.57399271193005, 50.98190383220303], ""type"": ""Point""}";190;BE00190;FOB;BOORTMEERB;BOORTMEERB;BOORTMEERBEEK;BOORTMEERBEEK;Boortmeerb;Boortmeerb;Boortmeerbeek;Boortmeerbeek;Boortmeerbeek;Boortmeerbeek;Stopplaats;Stop in open track;Point d'arrêt
50.854757009079435, 4.394274208667772;"{""coordinates"": [4.394274208667772, 50.854757009079435], ""type"": ""Point""}";812;BE00812;MEI;MEISER;MEISER;MEISER;MEISER;Meiser;Meiser;Meiser;Meiser;Meiser;Meiser;Stopplaats;Stop in open track;Point d'arrêt
51.0506130017172, 5.235889994991115;"{""coordinates"": [5.235889994991115, 51.0506130017172], ""type"": ""Point""}";1348;BE01348;LBN;BERINGEN;BERINGEN;BERINGEN;BERINGEN;Beringen;Beringen;Beringen;Beringen;Beringen;Beringen;Stopplaats;Stop in open track;Point d'arrêt
51.113708437795054, 4.638257975914391;"{""coordinates"": [4.638257975914391, 51.113708437795054], ""type"": ""Point""}";142;BE00142;GBL;BERLAAR;BERLAAR;BERLAAR;BERLAAR;Berlaar;Berlaar;Berlaar;Berlaar;Berlaar;Berlaar;Stopplaats;Stop in open track;Point d'arrêt
51.064712250785384, 3.105750907108637;"{""coordinates"": [3.105750907108637, 51.064712250785384], ""type"": ""Point""}";1152;BE01152;FRT;TORHOUT;TORHOUT;TORHOUT;TORHOUT;Torhout;Torhout;Torhout;Torhout;Torhout;Torhout;Stopplaats;Stop in open track;Point d'arrêt
50.3488506246698, 4.869974117956068;"{""coordinates"": [4.869974117956068, 50.3488506246698], ""type"": ""Point""}";472;BE00472;NGD;GODINNE;GODINNE;GODINNE;GODINNE;Godinne;Godinne;Godinne;Godinne;Godinne;Godinne;Stopplaats;Stop in open track;Point d'arrêt
51.047503146402754, 3.653586159319735;"{""coordinates"": [3.653586159319735, 51.047503146402754], ""type"": ""Point""}";335;BE00335;FDO;DRONGEN;DRONGEN;DRONGEN;DRONGEN;Tronchiennes;Drongen;Tronchiennes;Drongen;Tronchiennes;Drongen;Stopplaats;Stop in open track;Point d'arrêt
50.882398692140114, 4.115166601057234;"{""coordinates"": [4.115166601057234, 50.882398692140114], ""type"": ""Point""}";378;BE00378;FKS;ESSENE-LOMB;ESSENE-LOMB;ESSENE-LOMBEEK;ESSENE-LOMBEEK;Essene-Lomb;Essene-Lomb;Essene-Lombeek;Essene-Lombeek;Essene-Lombeek;Essene-Lombeek;Stopplaats;Stop in open track;Point d'arrêt
50.62692515023561, 5.93868646551414;"{""coordinates"": [5.93868646551414, 50.62692515023561], ""type"": ""Point""}";331;BE00331;GDL;DOLHAIN-GIL;DOLHAIN-GIL;DOLHAIN-GILEPPE;DOLHAIN-GILEPPE;Dolhain-Gil;Dolhain-Gil;Dolhain-Gileppe;Dolhain-Gileppe;Dolhain-Gileppe;Dolhain-Gileppe;Stopplaats;Stop in open track;Point d'arrêt
51.365383737807456, 4.460868704766986;"{""coordinates"": [4.460868704766986, 51.365383737807456], ""type"": ""Point""}";539;BE00539;MID;HEIDE;HEIDE;HEIDE;HEIDE;Heide;Heide;Heide;Heide;Heide;Heide;Stopplaats;Stop in open track;Point d'arrêt
