station,avg_delay
Merelbeke-Centraal,-0.34577546296296296333
Kinkempois-Réception,-0.06666666666666666667
Liers-Faisceau,0.05317669029651650333
Aye,0.107200204988042365
Lodelinsart,0.13612517976614769
Haversin,0.21441642362898152833
Liers,0.38544603743528474667
Philippeville,0.54636131371821815667
Neufchâteau,0.56022967663946811667
Hoboken-Polder,0.57300349441745504167
Franchimont,0.59985007496251874
Ligny,0.60147784034870032833
Stockem,0.62136766458147155167
Habay,0.658071219950572905
Landelies,0.71453199617956065
Fleurus,0.71574512402953986
Yvoir,0.75883463606081593667
Pecrot,0.81400621222863702333
Basse-Wavre,0.81616793248945147667
Chapois,0.85421727972626176167
Zeebrugge-Strand,0.85507209499575911833
Duinbergen,0.860079455952257035
Viville,0.86046210928715988333
Natoye,0.86796193363651676
Dave-Saint-Martin,0.89836068341437061
Heist,0.91240839151123615
Florival,0.923419832080709595
Lissewege,0.925235552763819095
Gastuche,0.92828748501274971667
Eerken,0.93396376297197714833
Gouy-lez-Piéton,0.934001742028326895
Juslenville,0.93582461385151968167
Haversin-Garage,0.93860277398817644333
Schaarbeek-NOS,0.94507843137254902
Charleroi-West,0.980807316304005045
Assesse,0.99461504678895983167
Courrière,0.996787983238713165
Pepinster-Cité,1.00804683607374190333
Theux,1.0260089686098655
Tilly-Garage,1.0305823850052596
Pont-à-Celles,1.0323295905636838
Diesdelle,1.0446516853932584
Yves-Gomezée,1.048719545096086
Marbehan,1.0554545454545455
Frameries,1.056474019088017
Godinne,1.0571550708036589
Bierges-Walibi,1.0582932909425919
Godarville,1.0710454700079374
Ruisbroek-Sauvegarde,1.071755142369532
Leignon,1.0856705046686143
Jambes-Oost,1.0936080511355909
Leval,1.0994116582186821
Tilly,1.1235654693669596
Heverlee,1.1372508977042596
Auvelais,1.1426120937885644
Huizingen,1.1511576644792193
Eine,1.1655325842696629
Lobbes-Garage,1.2007599506032108
Limal,1.223794136760777
Virton,1.2260583554376658
La Roche(Brabant),1.227666634911562
Ougrée,1.2288216934949443
Evergem,1.238953488372093
Milmort,1.2443472857707733
Kinkempois-Relais,1.2698077210036026
Genly,1.2724520383693046
Ciney,1.2785187539732994
Gendron-Celles,1.312829872994144
Niel,1.3151017014199821
Charleroi-A.T.,1.3166666666666667
Waarschoot,1.3230960943908133
Halanzy,1.3244901528666877
Moensberg,1.3455554560916659
Zeebrugge-Vorming,1.3479479166666667
Marloie,1.367384295744376
Beersel,1.3690602166792643
Faux,1.3783381043256997
Eke-Nazareth,1.3920903198953502
Marchienne-Zone,1.398241110477277
Sart-Bernard,1.4075197665343242
Moustier,1.4156216756538645
Lustin,1.4180463658524452
Seraing,1.4268448570209134
Naninne,1.4346895292207792
Hemiksem,1.4375727615134395
Lierde,1.458526932418917
Ham-sur-Heure,1.47129708470178
Wondelgem,1.4771675044994725
Carnières,1.4881609120094346
Paliseul,1.4947516867603141
Erquelinnes-Dorp,1.4963181078234224
Messancy,1.5078701155751238
Ottignies-Relais,1.5124768775434702
Lobbes,1.5137755587256301
Walcourt,1.5176872407904367
Spa-Géronstère,1.5188318227593152
Wespelaar-Tildonk,1.525161610343062
Poix-Saint-Hubert,1.5300691587670661
Oud-Heverlee,1.5326957966664971
Mariembourg,1.533349847246305
Graide,1.5351433632237352
Hourpes,1.5368496283590623
Familleureux,1.5494068271825605
Fontaine-Valmont,1.5502420962688693
Piéton,1.5644746044234636
Obourg,1.5724721704243657
Péruwelz,1.5814520870076426
Ronse,1.5840480214054359
Tamines,1.5858784536390557
Thuin,1.5911069651741294
Halle-Goederen,1.5925062282012955
Sint-Joris-Weert,1.5968241946884782
Diepenbeek,1.6042743277568538
Delta,1.6048956531765248
Dinant,1.6069619811649808
Spa,1.6092867756315007
La Louvière-Industriestation,1.6173637515842839
Namur-Herbatte,1.6223123551435193
Aarlen,1.6275249933477782
Havré,1.6281537105468353
Viane-Moerbeke,1.6334004424228867
Gavere-Asper,1.6358166487903706
Berzée,1.6370345637040635
Waver,1.6426269278633052
Morlanwelz,1.6533278786887034
Marche-lez-Ecaussinnes,1.6541578854935019
Namen,1.6552997107632583
Florée,1.6579730687455705
Haren,1.6621267882592773
Temse,1.6634164535379369
Bois d'Ausse,1.6679945471069373
Aiseau,1.6734946860685907
Koksijde,1.6779978586723769
Obourg-Marchandises,1.6798999591670069
Forchies,1.6838521868309521
Couillet,1.6894938870909745
Ronet,1.6929989809689058
Bilzen,1.6955598568831016
Boondaal,1.7070568630755116
Evere,1.7102786051689382
Floreffe,1.7187024300779459
Carlsbourg,1.7258986566282846
Céroux-Mousty,1.7448975684472525
Bracquegnies,1.751332903181988
Erquelinnes,1.7519439328831594
Weerde,1.7580566630495304
Bornem,1.7587304112640204
Pry,1.7589248751978571
Flawinne,1.7600875618042704
Essene-Lombeek,1.760674704006055
Kapelle-op-den-Bos,1.7751885665668614
Sint-Job,1.7762163237467318
Berlaar,1.7779067289042351
Booischot,1.7859787172665791
Grupont,1.790568567852673
Châtelet,1.8025477391906599
Nimy,1.8032338813341452
Flémalle-Annexe,1.8148686649197929
Moustier-Garage,1.8158935322835224
Meiser,1.8306350868325089
Jambes,1.8355728733197145
Hillegem,1.8388939345371657
Melkouwen,1.8425349492372296
Bertrix,1.8487439059885032
Manage,1.8495643722447846
Voroux,1.8500268135725429
Roeselare,1.8540363602110023
Bilzen-Wijkspoor,1.8552694471160852
Eppegem,1.8563206214689266
Hambos,1.857548977343488
Libramont,1.8604524089306698
Aubange,1.8616546083674111
La Louvière-Zuid,1.8675655514149924
Jemeppe-sur-Sambre-Marchandise,1.8681180588089398
Boom,1.8687464499497531
Herseaux,1.8692111363737684
Herstal,1.8733209869284888
Wijgmaal,1.8835979854361146
Farciennes,1.8854322487736826
Oudegem,1.8904533248372855
Thulin,1.8913161168835536
Brugge-Sint-Pieters,1.8966269649659316
Ingelmunster,1.9023567916314322
Beignée,1.9032159824582775
Jemeppe-sur-Sambre,1.9039966595084705
Mouterij,1.9059312409663432
Baasrode-Zuid,1.9107436899993642
Gembloux,1.9125336180984022
Hainin,1.912767024370675
Ham-sur-Sambre,1.9181709199140164
Ecaussinnes,1.9237905915394067
Florenville,1.9270972611602329
Zingem,1.9294834964239758
Mortsel,1.9344937541928855
Franière,1.9347949677230047
Hofstade,1.9361551906536038
Jamioulx,1.9414389799635701
Ede,1.9460838980488412
Muizen,1.9481607345138019
Kortemark,1.9488280788759003
Melreux-Hotton,1.9494200834265948
Moortsele,1.9500067025925628
Forrières,1.9543886489080874
Hever,1.9547996794871795
La Louvière-Centrum,1.9577761419132433
Anzegem,1.9609545670413171
Ville-Pommeroeul,1.9612747134794502
Schaarbeek-Josaphat,1.9621154774840034
Willebroek,1.9626661586656507
Izegem,1.9633056460112952
Vichte,1.9668706674589028
Bordet,1.9675645219920029
Antoing,1.9738487668763757
Blaton,1.9763896103896104
Mortsel-Liersesteenweg,1.9767256890144445
Kalmthout,1.9813045209396605
Hatrival,1.9816917182434424
Le Campinaire,1.9843231732625918
Beauraing,1.9909064035768392
Froyennes,1.994187187723055
Marchienne-au-Pont,1.9962124770724288
Harchies,1.9967393000156014
Terhagen,2.0055290331232399
Burst,2.0113462480516589
Kortenberg-Goederen,2.0226088613508397
Puurs,2.0267579823580569
Beveren(Waas),2.0269681018766021
Antwerpen-W.H.-B.Kallo,2.0283653846153846
Herzele,2.0338330700791547
Luik-Carré,2.0454163872000692
Izegem-Sas,2.0573763104217068
Kijkuit,2.0690820730424691
Thieu,2.0715118446470329
Aalter,2.0752423093131058
Haacht-Wijkspoor,2.0755905133015827
Sint-Agatha-Berchem,2.0768841129372103
Drongen,2.0838842457285774
Arcaden,2.0854244300617336
Groot-Bijgaarden,2.0855160136343694
Nieuwkerken-Waas,2.0881580661305472
Boortmeerbeek,2.0887062993394555
Callenelle,2.0949464211402414
Bierset-Awans,2.0965980761187788
Houyet,2.0966759932848349
Mérode,2.0984929139301763
Chênée,2.1038562451412283
Londerzeel,2.1055309130064446
Charleroi-Centraal,2.1059655893230423
Diksmuide,2.1060537586767095
Luttre,2.1179405455102666
Zwijndrecht,2.1185458803050398
Landegem,2.1230360172627791
Antwerpen-Zuid,2.1273969943494726
Rochefort-Jemelle,2.1289259927797834
Wezemaal,2.1326329735096406
Schoonaarde,2.1328039438756162
Maubray,2.1341529061515561
Haacht,2.1342219551282051
Neufvilles,2.1410320249951181
Langdorp,2.1412255855077334
Begijnendijk,2.1423533314073551
Kapellen-Wijkspoor,2.1518818068202107
Eeklo,2.1539517552461267
Oostkamp,2.1619342862341088
