station,avg_delay
Antwerpen-Kiel,-2.53
Merelbeke-Centraal,-0.69301513387660069833
Liers-Faisceau,-0.16148156534208838
Kinkempois-Réception,-0.06666666666666666667
Antwerpen-W.H.-B.Kallo,0.52949308755760368667
Couvin,0.74850495617268780167
Zeebrugge-Strand,0.77760101010101010167
De Panne,0.79324213003824654333
Eeklo,0.79403244837758112167
Hamont,0.79604029705381056667
Ronse,0.804836406531321785
Eupen,0.81169989820968804333
Binche,0.83823328202497007
Genk,0.84430282292557741667
Manage,0.89069864009135264167
Louvain-la-Neuve,0.900040830740029575
Liers,0.92418834402262677833
Haversin-Garage,0.93860277398817644333
Schaarbeek-NOS,0.94611307420494699667
Quévy,0.94678087349397590333
Tilly-Garage,1.0180599394229236
Blankenberge,1.0397783994295431
Marbehan,1.085106103286385
Turnhout,1.1757607230057214
Zeebrugge-Dorp,1.182260900140647
Lobbes-Garage,1.2188698955365622
Aarlen,1.2283263568387535
Charleroi-West,1.2388755444529849
Kinkempois-Relais,1.2698077210036026
Libramont,1.3294400081900082
Londerzeel,1.3299740728215534
Ciney,1.3376716125181206
Zeebrugge-Vorming,1.3479479166666667
Wezet,1.3522099447513812
Jambes,1.3601193810608607
Neufchâteau,1.3777752648045535
Fleurus,1.3888653302492932
Mariembourg,1.3898476947272577
Essen,1.4217444540478248
Oostende,1.4380282458149299
Boom,1.4388735177865613
Virton,1.445315649867374
Habay,1.4561116690845516
Philippeville,1.4934509852318072
Quiévrain,1.5122030651340996
Ottignies-Relais,1.5123412257984955
Theux,1.5174839029222387
Lodelinsart,1.5183520950594121
Bertrix,1.5281225331898098
Aye,1.5343918957372944
Sint-Joris-Weert,1.5353175008512087
Erquelinnes,1.5462923540890545
Stockem,1.5727061750399168
Halle-Goederen,1.5925062282012955
Hoboken-Polder,1.5943744914129085
Waver,1.5947436328957702
Gastuche,1.6144483083022545
La Louvière-Industriestation,1.6177744697132745
Marloie,1.6222635747685848
Namur-Herbatte,1.6223252326878417
Viville,1.6334614099565653
Tongeren,1.634140446876425
Milmort,1.637492252386265
Poperinge,1.6458057207589918
Basse-Wavre,1.6466981132075472
Florée,1.6579730687455705
Wondelgem,1.6605100608329434
Bois d'Ausse,1.6664327308223097
Piéton,1.668235797230172
Eerken,1.6696286405320971
Pecrot,1.6723123425692695
Florival,1.6762079849568517
Obourg-Marchandises,1.6825569129206792
Yvoir,1.6976969517511392
Knokke,1.7017213114754098
Ligny,1.7201374996030612
Sint-Job,1.7311524592934813
Haversin,1.7428122500285682
Lobbes,1.7621855121997532
Lissewege,1.770157422852377
Eine,1.7775678901820352
Spa,1.7943204365079365
Moustier,1.8029174902994363
Franchimont,1.8062407132243685
Rochefort-Jemelle,1.8100848308963054
Pry,1.8127637130801688
Oudenaarde,1.8128999353826272
Flémalle-Annexe,1.8142008052661852
Moustier-Garage,1.8171071467900011
Carnières,1.8243065550176632
Oud-Heverlee,1.8277310710282279
Courrière,1.8324957784532253
Auvelais,1.8340095149390021
Heverlee,1.8340401253491382
Spa-Géronstère,1.8363235294117647
Bilzen-Wijkspoor,1.8552694471160852
Assesse,1.8561105493764746
Natoye,1.8625025247424763
Jemeppe-sur-Sambre-Marchandise,1.8687969061463701
Sart-Bernard,1.8690295997309115
Familleureux,1.8705510364733666
Gouy-lez-Piéton,1.874145130346462
Marchienne-Zone,1.8763979872780784
Graide,1.8841038118410381
Herstal,1.8896805669279058
Limal,1.8935365853658537
Lustin,1.9002229106226746
Naninne,1.9014069373090225
Kapellen-Wijkspoor,1.904312005135887
Diepenbeek,1.9048536728124085
Obourg,1.9057149794461761
Beignée,1.9080440167296057
Namen,1.9118145556131559
Dinant,1.9125555858063345
Godinne,1.912984678310491
Geraardsbergen,1.914463808675741
Ham-sur-Sambre,1.9181709199140164
Godarville,1.922706240830606
Aubange,1.9264310645724258
La Louvière-Centrum,1.9277330105273301
Ougrée,1.9378822654340665
Puurs,1.942919669904941
Hatrival,1.9443322706340772
Schaarbeek-Josaphat,1.9504638935670608
Bierges-Walibi,1.9510812879766518
Athus,1.9569335623054631
Charleroi-Centraal,1.9579408908162804
Brussels Airport - Zaventem,1.9642995252617348
Ville-Pommeroeul,1.9643918146878571
Dave-Saint-Martin,1.9655037971250339
Huizingen,1.9716169801253835
Marche-lez-Ecaussinnes,1.9760780287474333
Walcourt,1.9796902564102564
Messancy,1.9886127103631532
Juslenville,1.9889301634472511
Harchies,1.9990578466552256
Yves-Gomezée,2.0017864493290524
Beersel,2.0064040353510088
Forchies,2.0121381733276598
Morlanwelz,2.0147470257550007
Kortenberg-Goederen,2.0222696565671467
Heist,2.031448237694995
Haren,2.0370714770563395
Leignon,2.0522929500342231
Izegem-Sas,2.0574177735610373
Flawinne,2.0607551602925925
Haacht-Wijkspoor,2.0655224670451265
Jemeppe-sur-Sambre,2.0659650327246098
Ronet,2.0668528174167581
Antwerpen-Centraal,2.0693580170089193
Aiseau,2.0716046885814704
Chapois,2.0764377633526933
Havré,2.0910116041264138
Seraing,2.0931155266844988
Callenelle,2.0976721806075739
Couillet,2.1005248425472358
Pont-à-Celles,2.1196701271345821
Dendermonde,2.1214889901807379
Thieu,2.1216454251689151
La Louvière-Zuid,2.134207666972259
Maubray,2.1377525055823856
Leval,2.143729744328412
Jamioulx,2.1448635536688902
Brugge-Sint-Pieters,2.1459004477833662
Châtelet,2.1470702194413729
Kortrijk,2.1517670587046142
Kijkuit,2.1641732854604142
Meiser,2.1652229953850591
Ecaussinnes,2.1655685880840422
Duinbergen,2.1696277846962778
Ruisbroek-Sauvegarde,2.1714253827954109
Bracquegnies,2.1747094832365887
Burst,2.1793281722726464
Bilzen,2.1876921061823262
Essene-Lombeek,2.1878935235213601
Weerde,2.1889742051099926
Floreffe,2.1904697839158727
Frameries,2.1927679921246001
Jambes-Oost,2.1933981266995669
Landegem,2.1963353036308141
Schulen,2.2003237378246427
Farciennes,2.2097048573686858
Herzele,2.2185061837377061
Oudegem,2.2290340909090909
Hever,2.2295849328214971
Tamines,2.2309915296462382
Zottegem,2.2340309438169641
Zingem,2.2350213599145603
Nimy,2.2390883152327142
Bordet,2.2422993863264168
Doornik,2.2443910664677124
Gavere-Asper,2.2446626789274767
Gendron-Celles,2.2450811243144424
Berlaar,2.2455808040511069
Eppegem,2.2458685172965295
Kapelle-op-den-Bos,2.2472535096310806
Booischot,2.2486235547591621
Lokeren-Oost,2.2513595306825589
Moensberg,2.256584389593062
Franière,2.2647557423892735
Hambos,2.2680906164339899
Boondaal,2.2712310245794637
Eke-Nazareth,2.2720701910262106
Anzegem,2.273856299575724
Pepinster-Cité,2.2862146050670641
Oostkamp,2.2885063643595863
Hillegem,2.2888722301053966
Paliseul,2.289113275054406
Sint-Niklaas,2.2900361781453757
Le Campinaire,2.2959843158464035
Baasrode-Zuid,2.2969633374670101
Gedinne-Marchandises,2.297249621338062
Blaton,2.2981138278911211
Brugge,2.2991110573173028
Melkouwen,2.2995398089171975
Boechout,2.3068104134090473
Drongen,2.3071720914876419
Sint-Niklaas-Oost,2.3091583819461562
Muizen,2.3119326710027875
Terhagen,2.3121055451379587
Boortmeerbeek,2.3148541092690157
Nieuwkerken-Waas,2.3151566559053553
Schaarbeek,2.3163736815670517
Ingelmunster,2.3189273361816674
Roeselare,2.3252235323593429
Delta,2.3266843910411344
Genly,2.3270173592845871
Neufvilles-Garage,2.3278048840138425
Hennuyères-Garage,2.3311499987635087
Bornem,2.3359656084656085
Temse,2.3409203881441527
Mortsel,2.3480594768748145
Florenville,2.3640175646978368
Buda,2.3648823962907237
Antoing,2.3685390240521245
Vichte,2.3689895837448478
Wijgmaal,2.3725382879638965
Sint-Mariaburg,2.3748067327289339
Haacht,2.3808218089333969
Havinnes,2.3814904552129222
Neufvilles,2.3830450417504724
Diksmuide,2.3842216544797815
Arcaden,2.3884009324009324
Rhisnes,2.3998714697011242
Beervelde,2.4028419705694178
Glaaien,2.408579945799458
Vilvoorde,2.4087445142817991
Erps-Kwerps,2.4109881466910891
Etterbeek,2.4173779283812533
Ottignies,2.4213930421473982
Evere,2.4220556185947659
Ternat,2.4265685812520725
Lierde,2.4270303445519683
Antwerpen-Zuid,2.4297441744459488
Luik-Carré,2.4317487771165016
Izegem,2.4328996340418905
Mouterij,2.4332339796479648
Halanzy,2.4372680107246074
Olne,2.437608761361919
Diesdelle,2.4433112650900964
