station,num_trains,avg_arrival_delay,avg_departure_delay
Aalst,264,2.9994470383311174,2.5121495181846441
Aalst-Oost,1,13.5666666666666667,13.5666666666666667
Aalter,209,2.0752423093131058,2.5062759377380587
Aarlen,64,1.6275249933477782,1.2283263568387535
Aarschot,255,2.3353067103308166,2.5232509160853633
Aarsele,205,3.4217891928297586,3.4270982281628847
Aat,133,2.8613014146906308,3.0517869207885847
Acren,37,2.443031951053705,3.4520390296252365
Aiseau,137,1.6734946860685907,2.0716046885814704
Alken,91,4.047215945042032,4.5760837542087542
Amay,107,2.6075104766893662,2.9111116557200274
Ampsin,107,2.7207254141467263,2.997434508568052
Andenne,105,2.6158281621850048,2.9145027223635471
Anderlecht,408,2.6812408644918496,2.7285859433488824
Angleur,166,2.7373333659866611,3.0194265285514186
Ans,132,2.467980496644777,2.9145375040240369
Anseremme,30,3.0503272450532725,2.8709019518145776
Antoing,109,1.9738487668763757,2.3685390240521245
Antwerpen-Berchem,713,2.3378861106028151,2.7165412977378309
Antwerpen-Centraal,737,2.9670468284165967,2.0693580170089193
Antwerpen-Dam,69,10.8187810945273632,10.8286069651741294
Antwerpen-Kiel,8,26.05,-2.53
Antwerpen-Luchtbal,101,2.5205334151873263,2.815328734457503
Antwerpen-Noorderdokken,76,2.6610680499244773,2.7056307380469775
Antwerpen-Oost,70,11.2067901234567901,11.1692592592592593
Antwerpen-W.H.-B.Kallo,73,2.0283653846153846,0.52949308755760368667
Antwerpen-Zuid,232,2.1273969943494726,2.4297441744459488
Anzegem,122,1.9609545670413171,2.273856299575724
Appelterre,39,2.8007732561538911,4.0840231594913079
Arcaden,176,2.0854244300617336,2.3884009324009324
Asse,147,2.8937885802469136,2.8977245938879602
Assesse,33,0.99461504678895983167,1.8561105493764746
Athus,33,2.4113655821917808,1.9569335623054631
Aubange,33,1.8616546083674111,1.9264310645724258
Auvelais,137,1.1426120937885644,1.8340095149390021
Aye,34,0.107200204988042365,1.5343918957372944
Baasrode-Zuid,161,1.9107436899993642,2.2969633374670101
Balegem-Dorp,38,2.5147753757132524,3.2338279725141039
Balegem-Zuid,38,2.555144165127299,3.1975060048038431
Balen,37,2.7691276115189159,3.6043000686513137
Balen-Werkplaatsen,35,3.2955813613789074,3.2387661787477722
Barvaux,35,2.5116436267534052,3.3440364953619067
Bas-Oha,105,2.5866655531429208,2.8935895720434424
Basse-Wavre,145,0.81616793248945147667,1.6466981132075472
Baulers,246,2.463248709915223,2.463248709915223
Beauraing,30,1.9909064035768392,2.776521032010054
Beernem,209,2.6380739273025417,2.8107027272985809
Beersel,173,1.3690602166792643,2.0064040353510088
Beervelde,150,2.2190757758039607,2.4028419705694178
Begijnendijk,139,2.1423533314073551,2.4780051971383658
Beignée,30,1.9032159824582775,1.9080440167296057
Bellem,209,2.4914471025505296,2.6592963051468496
Belsele,213,2.2812722011078819,2.6498227082248506
Bergen,255,2.3532311800775224,2.5993052917774535
Beringen,37,3.1972497459349594,3.1468296580377117
Berlaar,171,1.7779067289042351,2.2455808040511069
Bertrix,67,1.8487439059885032,1.5281225331898098
Berzée,30,1.6370345637040635,2.5366776315789474
Beuzet,103,2.4394431885646436,2.6542526493503531
Beveren(Waas),208,2.0269681018766021,2.5874062978769972
Beverlo,37,2.6699314505938843,3.5420658966104904
Bierges-Walibi,180,1.0582932909425919,1.9510812879766518
Bierset-Awans,121,2.0965980761187788,2.6757936109717344
Bilzen,105,1.6955598568831016,2.1876921061823262
Bilzen-Wijkspoor,105,1.8552694471160852,1.8552694471160852
Binche,40,2.5589804744641608,0.83823328202497007
Bissegem,37,2.6698130493286381,3.1276351081435827
Blankenberge,37,4.6611804430037817,1.0397783994295431
Blanmont,104,2.3274697184206387,2.598333501383614
Blaton,109,1.9763896103896104,2.2981138278911211
Bleret,131,2.9681558657036892,3.2349442741032754
Bockstael,258,2.5206011103993167,2.863336760757624
Boechout,241,2.1692010365880441,2.3068104134090473
Bois d'Ausse,33,1.6679945471069373,1.6664327308223097
Bokrijk,99,3.3129399233063485,4.1980523329663816
Bomal,35,2.7408098438492661,2.9888989898989899
Booischot,139,1.7859787172665791,2.2486235547591621
Boom,87,1.8687464499497531,1.4388735177865613
Boondaal,176,1.7070568630755116,2.2712310245794637
Boortmeerbeek,219,2.0887062993394555,2.3148541092690157
Bordet,246,1.9675645219920029,2.2422993863264168
Borgworm,131,3.0445615073493144,3.6582128202063663
Bornem,95,1.7587304112640204,2.3359656084656085
Bosvoorde,140,2.8374129853630132,3.2730035594086448
Boussu,60,2.5139892029641552,3.5468726968174204
Bouwel,141,2.5550487943634852,2.7973287791206866
Bracquegnies,109,1.751332903181988,2.1747094832365887
Bressoux,36,2.5609970674486804,2.4476892822025565
Brugelette,86,2.7980182969347056,3.6140797143893119
Brugge,267,2.3335996276355304,2.2991110573173028
Brugge-Sint-Pieters,101,1.8966269649659316,2.1459004477833662
Brussel-Centraal,1052,2.9657778471519997,3.5099511890822374
Brussel-Congres,1052,2.7819512572287526,2.8233927452846169
Brussel-Kapellekerk,1052,2.8468639037874319,2.8673138878812842
Brussel-Luxemburg,348,2.3806230370936253,2.5375249092173705
Brussel-Noord,1067,2.7082403149803707,2.7354629448734515
Brussels Airport - Zaventem,339,2.3854099350118893,1.9642995252617348
Brussel-Schuman,315,2.3673853345765266,2.687188477997062
Brussel-West,173,2.9518162107576703,2.9577861051629788
Brussel-Zuid,1084,2.8133994188607013,2.9782536813332158
Buda,275,2.2404586737932871,2.3648823962907237
Buggenhout,161,2.249033931375815,2.7325032080224324
Buizingen,303,2.6614814404022479,2.7149933659718273
Burst,193,2.0113462480516589,2.1793281722726464
Callenelle,109,2.0949464211402414,2.0976721806075739
Cambron-Casteau,86,3.2086011631466177,4.4946066131370581
Carlsbourg,30,1.7258986566282846,2.541005378720896
Carnières,111,1.4881609120094346,1.8243065550176632
Céroux-Mousty,76,1.7448975684472525,2.7494835725374648
Chapelle-Dieu,9,6.84375,6.84375
Chapois,34,0.85421727972626176167,2.0764377633526933
Charleroi-A.T.,1,1.3166666666666667,
Charleroi-Centraal,418,2.1059655893230423,1.9579408908162804
Charleroi-Faisceau A,93,3.480829420970266,3.3244103773584906
Charleroi-West,75,0.980807316304005045,1.2388755444529849
Chastre,104,2.1891853397034744,2.5021231993722325
Château-de-Seilles,105,2.5302201352450341,2.6765966344384597
Châtelet,137,1.8025477391906599,2.1470702194413729
Châtelet-Formation,39,5.8459259259259259,5.8459259259259259
Chaudfontaine,130,2.3264295902489627,2.592781608451221
Chênée,130,2.1038562451412283,2.5865390847809178
Ciney,67,1.2785187539732994,1.3376716125181206
Comblain-la-Tour,35,3.4367360488663148,4.3676161696225107
Couillet,137,1.6894938870909745,2.1005248425472358
Courcelles-Motte,200,2.71745553643144,3.021724375538329
Courrière,33,0.996787983238713165,1.8324957784532253
Cour-sur-Heure,30,2.3178164415784564,2.4610834143968872
Court-Saint-Etienne,76,2.9349790715372907,3.118337450905866
Couvin,30,2.5490819209039548,0.74850495617268780167
Dave-Saint-Martin,33,0.89836068341437061,1.9655037971250339
De Hoek,253,2.871058074198803,3.0249380121234275
Deinze,363,2.760894131125345,3.2555718475073314
Deinze-Wijksporen,361,2.9884554982907318,2.9932058757179794
Delta,96,1.6048956531765248,2.3266843910411344
Denderleeuw,493,2.7773567817304275,2.5857674639331815
Dendermonde,351,2.9249763917618491,2.1214889901807379
De Panne,66,3.6161680911680912,0.79324213003824654333
De Pinte,426,2.7555796662629525,3.0995521697125835
Diegem,524,2.8005607648464791,2.938649774744676
Diepenbeek,105,1.6042743277568538,1.9048536728124085
Diesdelle,176,1.0446516853932584,2.4433112650900964
Diest,251,2.349553488969732,2.8626952086254412
Diksmuide,66,2.1060537586767095,2.3842216544797815
Dilbeek,186,2.8934023394765632,2.8331305159538357
Dinant,67,1.6069619811649808,1.9125555858063345
Dolhain-Gileppe,62,3.1672519338861372,3.2065915414579855
Doornik,182,2.6144330085708007,2.2443910664677124
Drongen,209,2.0838842457285774,2.3071720914876419
Duffel,411,2.6375451399337948,2.7534293217763081
Duinbergen,36,0.860079455952257035,2.1696277846962778
Ecaussinnes,78,1.9237905915394067,2.1655685880840422
Ede,193,1.9460838980488412,2.7611532490574407
Edingen,244,2.8744845449096669,2.8394480546953005
Eeklo,36,2.1539517552461267,0.79403244837758112167
Eerken,145,0.93396376297197714833,1.6696286405320971
Eichem,39,2.4026143216815973,3.2054922748912059
Eigenbrakel,253,2.9671156609195402,3.3140195310840419
Eine,65,1.1655325842696629,1.7775678901820352
Eke-Nazareth,65,1.3920903198953502,2.2720701910262106
Ekeren,52,2.2021554757882883,2.9868284686971235
Engis,107,2.4380698308783415,2.8089168084456659
Eppegem,489,1.8563206214689266,2.2458685172965295
Erbisoeul,123,2.7476253779585028,3.0159290744676418
Erembodegem,263,2.6751054646143823,2.7975898602853018
Ernage,104,2.735117864402592,2.6056917018284107
Erps-Kwerps,449,2.2755243924089102,2.4109881466910891
Erquelinnes,15,1.7519439328831594,1.5462923540890545
Erquelinnes-Dorp,15,1.4963181078234224,3.5360109754943703
Esneux,35,3.0501138113409654,3.7518010348856618
Essen,40,3.5193750452603375,1.4217444540478248
Essene-Lombeek,186,1.760674704006055,2.1878935235213601
Etterbeek,346,2.1960184501531855,2.4173779283812533
Eupen,33,4.3584366391184573,0.81169989820968804333
Evere,246,1.7102786051689382,2.4220556185947659
Evergem,36,1.238953488372093,2.9531431933605847
Ezemaal,253,2.5369052934464454,3.7531292803274089
Familleureux,78,1.5494068271825605,1.8705510364733666
Farciennes,137,1.8854322487736826,2.2097048573686858
Faux,76,1.3783381043256997,2.596640040573095
