station,arrival_delay,departure_delay,min_arrival_delay,min_departure_delay,max_arrival_delay,max_departure_delay
Aalst,2.9994470383311174,2.5121495181846441,-5,-5,114,114
Aalst-Oost,13.5666666666666667,13.5666666666666667,13,13,13,13
Aalter,2.0752423093131058,2.5062759377380587,-38,-38,286,262
Aarlen,1.6275249933477782,1.2283263568387535,-8,0,72,56
Aarschot,2.3353067103308166,2.5232509160853633,-27,-24,122,122
Aarsele,3.4217891928297586,3.4270982281628847,-9,-9,116,116
Aat,2.8613014146906308,3.0517869207885847,-10,-2,203,94
Acren,2.443031951053705,3.4520390296252365,-2,0,51,53
Aiseau,1.6734946860685907,2.0716046885814704,-4,-4,93,93
Alken,4.047215945042032,4.5760837542087542,-5,-5,131,131
Amay,2.6075104766893662,2.9111116557200274,-2,-2,149,149
Ampsin,2.7207254141467263,2.997434508568052,-2,-2,149,149
Andenne,2.6158281621850048,2.9145027223635471,-2,-1,150,148
Anderlecht,2.6812408644918496,2.7285859433488824,-33,-33,131,132
Angleur,2.7373333659866611,3.0194265285514186,-4,-3,118,118
Ans,2.467980496644777,2.9145375040240369,-19,-19,230,173
Anseremme,3.0503272450532725,2.8709019518145776,0,-1,90,89
Antoing,1.9738487668763757,2.3685390240521245,-6,-6,101,141
Antwerpen-Berchem,2.3378861106028151,2.7165412977378309,-30,-25,125,132
Antwerpen-Centraal,2.9670468284165967,2.0693580170089193,-61,-11,131,127
Antwerpen-Dam,10.8187810945273632,10.8286069651741294,-32,-32,73,73
Antwerpen-Kiel,26.05,-2.53,0,-7,39,1
Antwerpen-Luchtbal,2.5205334151873263,2.815328734457503,-65,-65,93,93
Antwerpen-Noorderdokken,2.6610680499244773,2.7056307380469775,-65,-65,93,93
Antwerpen-Oost,11.2067901234567901,11.1692592592592593,-25,-25,74,74
Antwerpen-Schijnpoort-Carwash,-1.2083333333333333,-1.2833333333333333,-23,-24,21,21
Antwerpen-W.H.-B.Kallo,2.0283653846153846,0.52949308755760368667,-2,-14,26,24
Antwerpen-Zuid,2.1273969943494726,2.4297441744459488,-10,-5,96,96
Anzegem,1.9609545670413171,2.273856299575724,-2,-2,139,139
Appelterre,2.8007732561538911,4.0840231594913079,-1,0,74,88
Arcaden,2.0854244300617336,2.3884009324009324,-9,-9,121,121
Asse,2.8937885802469136,2.8977245938879602,-3,-4,198,151
Assesse,0.99461504678895983167,1.8561105493764746,-5,0,52,52
Athus,2.4113655821917808,1.9569335623054631,-2,0,75,74
Aubange,1.8616546083674111,1.9264310645724258,0,-1,73,74
Auvelais,1.1426120937885644,1.8340095149390021,-4,-4,88,89
Aye,0.107200204988042365,1.5343918957372944,-2,0,37,39
Baasrode-Zuid,1.9107436899993642,2.2969633374670101,-3,-3,96,96
Balegem-Dorp,2.5147753757132524,3.2338279725141039,-1,-10,75,75
Balegem-Zuid,2.555144165127299,3.1975060048038431,0,-19,75,75
Balen,2.7691276115189159,3.6043000686513137,-5,-5,62,63
