station,max_delay
Charleroi-A.T.,1
Kortrijk-Goederen,3
Oostende-T.W.,5
Oostende-Zeehaven,5
Hasselt-Aflos L.35/1,12
Aalst-Oost,13
Spa-Géronstère,14
Châtelet-Formation,16
Zeebrugge-Strand,23
Pepinster-Cité,25
Franchimont,25
Chapelle-Dieu,25
Spa,25
Theux,25
Juslenville,25
Jemeppe-Froidmont,26
Mazy,26
Antwerpen-W.H.-B.Kallo,26
Merelbeke-Centraal,30
Ronet-Vorming,30
Oostende-Perron T.O.P.,34
Montzen-Est,37
Aye,37
Melle-T.W.,38
Antwerpen-Kiel,39
Wezet,39
Haversin,39
Bressoux,40
Liège-Guillemins-Faisceau,40
Chapois,41
Lissewege,41
Zeebrugge-Vorming,42
Haversin-Garage,42
Zeebrugge-Dorp,42
Marcinelle,44
Muizen-Goederen,45
Charleroi-Faisceau A,46
Ougrée,50
Tilly-Garage,51
Bois d'Ausse,51
Acren,51
Courrière,51
Florée,52
Houraing,52
Assesse,52
Ligny,52
Tilly,52
Lessen,52
Villers-la-Ville,53
Court-Saint-Etienne,53
Natoye,53
Fleurus,53
Céroux-Mousty,53
Papegem,53
Rebaix,53
Faux,53
Lodelinsart,53
Ciney,54
La Roche(Brabant),54
Forrières,54
Rochefort-Jemelle,54
Thulin,55
Poix-Saint-Hubert,55
Neufchâteau,55
Hatrival,55
Glaaien,56
Marbehan,56
Viville,56
Habay,56
Stockem,56
Grupont,56
Quiévrain,57
Merelbeke-Sas T.W.,57
Ninove,58
Quévy,58
Ninove-Wijkspoor,59
Hainin,59
Eupen,59
Lobbes-Garage,61
Binche,61
Lobbes,61
Leval,61
Balen,62
Leopoldsburg,63
Fontaine-Valmont,63
Iddergem,63
Okegem,63
Zolder,64
Froyennes,64
Zolder-Kruissporen,64
Heusden,64
Zonhoven,64
Herseaux,65
Erquelinnes,65
Beringen,66
Moeskroen,66
Erquelinnes-Dorp,66
Beverlo,66
Solre-sur-Sambre,67
Hony,68
Tilff,68
Méry,68
Labuissière,68
Poulseur,69
Marchienne-Zone,69
Landelies,69
Esneux,69
Moortsele,69
Gontrode,70
Hourpes,70
Landskouter,70
Heist,70
Scheldewindeke,70
Zele,70
Barvaux,71
Melreux-Hotton,71
Halle-Goederen,71
Komen,71
Marche-en-Famenne,71
Duinbergen,71
Philippeville,71
Bomal,72
Comblain-la-Tour,72
Rivage-Marchandises,72
Moensberg,72
Poperinge,72
Blankenberge,72
Marloie,72
Couvin,72
Yves-Gomezée,72
Mariembourg,72
Flémalle-Annexe,72
Aarlen,72
Beersel,72
Ternat,72
Thuin,72
Lens,72
Huizingen,72
Halanzy,72
Eichem,72
Lommel,72
Koksijde,73
Antwerpen-Dam,73
Aubange,73
Lauwe,73
Knokke,73
Messancy,73
Sy,73
Seraing,73
Rivage,73
Hamoir,73
Kinkempois-Relais,74
Heverlee,74
Sint-Joris-Weert,74
Pecrot,74
Antwerpen-Oost,74
Oud-Heverlee,74
Appelterre,74
Vorst-Oost,74
Ukkel-Stalle,74
Ukkel-Kalevoet,74
Schaarbeek-NOS,74
Pry,75
De Panne,75
Hamont,75
Veurne,75
Berzée,75
Balen-Werkplaatsen,75
Balegem-Zuid,75
Balegem-Dorp,75
Athus,75
Frameries,75
Tongeren,76
Cour-sur-Heure,76
Lierde,76
Schaarbeek-Sas K/C,76
Ieper,76
Louvain-la-Neuve,77
Baulers,77
Ham-sur-Heure,77
Noorderkempen,77
Sart-Bernard,77
Essene-Lombeek,77
Eerken,77
Florival,77
Schaarbeek-P.C.I.,77
Beignée,77
Walcourt,77
Neerpelt,78
Jamioulx,78
Overpelt,78
Maffle,78
Brugelette,78
Mévergnies-Attre,79
Godarville,79
Gouy-lez-Piéton,79
Pont-à-Celles,80
Morlanwelz,81
Wervik,81
Sint-Martens-Bodegem,81
Carnières,81
Sint-Agatha-Berchem,81
Piéton,81
Groot-Bijgaarden,81
Menen,81
Holleken,82
Linkebeek,82
Dilbeek,82
Naninne,82
Muizen,85
Hofstade,85
Sint-Genesius-Rode,85
Moustier,86
Ronet,86
Schendelbeke,86
De Hoek,87
Floreffe,87
Gedinne,87
Ham-sur-Sambre,87
Zandbergen,87
Moustier-Garage,87
Haren,87
Flawinne,87
Franière,87
Jemeppe-sur-Sambre,87
Genly,87
Idegem,87
Bordet,88
Evere,88
Schaarbeek-Josaphat,88
Jemeppe-sur-Sambre-Marchandise,88
Waterloo,88
Auvelais,88
Wevelgem,88
Viane-Moerbeke,88
Bilzen,88
Bilzen-Wijkspoor,88
Mérode,89
Galmaarden,89
Lustin,89
Godinne,89
Graide,89
Waregem,89
Beauraing,89
