station,max_delay
Kinkempois-Réception,0
Antwerpen-Kiel,1
Kortrijk-Goederen,3
Oostende-Zeehaven,5
Oostende-T.W.,5
Hasselt-Aflos L.35/1,12
Aalst-Oost,13
Muizen-Goederen,14
Châtelet-Formation,16
Antwerpen-W.H.-B.Kallo,24
Zeebrugge-Strand,24
Theux,25
Pepinster-Cité,25
Juslenville,25
Chapelle-Dieu,25
Mazy,26
Franchimont,26
Jemeppe-Froidmont,26
Spa-Géronstère,26
Spa,26
Melle-T.W.,30
Ronet-Vorming,30
Merelbeke-Centraal,31
De Panne,34
Couvin,36
Zeebrugge-Dorp,36
Oostende-Perron T.O.P.,36
Erquelinnes,37
Montzen-Est,37
Binche,37
Poperinge,37
Knokke,39
Wezet,39
Aye,39
Bressoux,40
Liège-Guillemins-Faisceau,40
Leignon,40
Lissewege,42
Haversin-Garage,42
Chapois,42
Zeebrugge-Vorming,42
Charleroi-Faisceau A,43
Blankenberge,43
Haversin,43
Hamont,43
Eeklo,44
Marcinelle,44
Quiévrain,44
Ronse,45
Genk,45
Ciney,47
Liers-Faisceau,47
Eupen,48
Ougrée,50
Bois d'Ausse,51
Marloie,51
Tilly-Garage,51
Courrière,51
Lessen,52
Florée,52
Ligny,52
Assesse,52
Acren,53
Court-Saint-Etienne,53
Faux,53
Tilly,53
Natoye,53
Villers-la-Ville,53
Rebaix,53
Céroux-Mousty,53
Essen,54
Houraing,54
Papegem,54
La Roche(Brabant),54
Neufchâteau,55
Hatrival,55
Marbehan,55
Rochefort-Jemelle,55
Aarlen,56
Glaaien,56
Grupont,56
Habay,56
Poix-Saint-Hubert,56
Tongeren,57
Viville,57
Merelbeke-Sas T.W.,57
Stockem,57
Forrières,57
Ninove-Wijkspoor,59
Thulin,60
Leval,62
Zonhoven,63
Balen,63
Zolder-Kruissporen,64
Okegem,64
Lobbes-Garage,64
Zolder,64
Froyennes,64
Heusden,65
Iddergem,65
Louvain-la-Neuve,65
Beringen,65
Beverlo,66
Erquelinnes-Dorp,66
Herseaux,66
Leopoldsburg,66
Solre-sur-Sambre,67
Labuissière,68
Landelies,69
Hony,69
Méry,69
Fontaine-Valmont,69
Tilff,69
Scheldewindeke,70
Moortsele,70
Hourpes,70
Esneux,70
Zele,70
Marchienne-Zone,70
Doornik,70
Poulseur,71
Landskouter,71
Ieper,71
Thuin,71
Halle-Goederen,71
Mariembourg,71
Gontrode,71
Beersel,72
Flémalle-Annexe,72
Rivage-Marchandises,72
Rivage,72
Huizingen,72
Bomal,72
Heist,72
Philippeville,72
Lobbes,72
Lommel,72
Melreux-Hotton,72
Balen-Werkplaatsen,72
Barvaux,72
Seraing,73
