station,min_delay
Kortrijk,-68
Antwerpen-Luchtbal,-65
Antwerpen-Noorderdokken,-65
Melle,-63
Brugge,-63
Merelbeke,-62
Antwerpen-Centraal,-61
Gent-Sint-Pieters,-58
Wetteren,-58
Waregem,-57
De Pinte,-57
Deinze-Wijksporen,-57
Deinze,-57
Harelbeke,-57
Schaarbeek,-56
Denderleeuw,-50
Lot,-47
Berlaar,-46
Luik-Guillemins,-43
Oostkamp,-41
Beernem,-40
Maria-Aalter,-39
Aalter,-38
Hansbeke,-36
Bellem,-36
Landegem,-34
Kwatrecht,-34
Drongen,-33
Anderlecht,-33
Schoonaarde,-32
Dendermonde,-32
Oudegem,-32
Wichelen,-32
Antwerpen-Dam,-32
Schellebelle,-31
Testelt,-30
Antwerpen-Berchem,-30
Liers,-30
Zichem,-30
Diest,-29
Langdorp,-29
Brussel-Noord,-29
Lier,-29
Schulen-Sas,-29
Schulen,-29
Begijnendijk,-28
Booischot,-28
Heist-op-den-Berg,-28
Melkouwen,-28
Aarschot,-27
Brussel-Zuid,-27
Vilvoorde,-27
Schaarbeek-Perron P.C.I.,-27
Machelen,-26
Hasselt,-25
Liedekerke,-25
Antwerpen-Oost,-25
Lichtervelde,-24
Milmort,-24
Wezemaal,-24
Mortsel,-24
Pecrot,-21
Herstal,-21
Bierset-Awans,-20
Buizingen,-19
Ans,-19
Schaarbeek-NOS,-19
Vorst-Zuid,-18
Luik-Sint-Lambertus,-18
Leuven,-18
Ruisbroek,-18
Basse-Wavre,-18
Gastuche,-17
Haren-Zuid,-16
Eerken,-16
Mortsel-Liersesteenweg,-16
Kontich-Lint,-15
Libramont,-15
Hove,-15
Florival,-15
Brussels Airport - Zaventem,-13
Luttre,-13
Puurs,-13
Graide,-13
Sint-Job,-13
Melsele,-12
Jette,-12
Sinaai,-12
Meiser,-12
Brussel-Centraal,-12
Brussel-Congres,-12
Brussel-Kapellekerk,-12
Willebroek,-12
Herseaux,-12
Bierges-Walibi,-11
Belsele,-11
Bornem,-11
Sint-Niklaas,-11
Landskouter,-11
Brussel-Luxemburg,-11
Piéton,-11
Moortsele,-11
Sint-Joris-Weert,-11
Carlsbourg,-11
Carnières,-11
Forchies,-11
Diepenbeek,-11
Liers-Faisceau,-11
Delta,-11
Buda,-10
La Louvière-Zuid,-10
Obaix-Buzet,-10
Kortemark,-10
Oud-Heverlee,-10
Antwerpen-Zuid,-10
Landen,-10
Hoboken-Polder,-10
Morlanwelz,-10
Aat,-10
Maffle,-10
Waver,-10
Limal,-10
Herent,-10
Boondaal,-10
Duffel,-10
Heverlee,-10
Sint-Katelijne-Waver,-10
Namur-Herbatte,-10
Groot-Bijgaarden,-10
Boom,-10
Mévergnies-Attre,-9
Kortenberg,-9
Arcaden,-9
Aarsele,-9
Veltem,-9
Tielt,-9
Thulin,-9
Brugelette,-9
Serskamp,-9
Schelle,-9
Erps-Kwerps,-9
Ottignies-Relais,-9
Etterbeek,-9
Ottignies,-9
Niel,-9
Mol,-9
Hemiksem,-9
Temse,-8
Lede,-8
Lillois,-8
Kessel,-8
Zaventem,-8
Saint-Denis-Bovesse,-8
Ecaussinnes,-8
Mechelen-Nekkerspoel,-8
Waterloo,-8
Ruisbroek-Sauvegarde,-8
Marcinelle,-8
Dilbeek,-8
Welkenraedt,-8
Natoye,-8
Charleroi-Faisceau A,-8
Mortsel-Oude God,-8
Cambron-Casteau,-8
Diegem,-8
Flémalle-Haute,-8
Aarlen,-8
Nossegem,-8
Nijvel,-8
Florée,-8
Tilleur,-7
Muizen,-7
Bouwel,-7
Gedinne-Marchandises,-7
Profondsart,-7
Watermaal,-7
Pont-de-Seraing,-7
Ekeren,-7
Sint-Mariaburg,-7
Flémalle-Grande,-7
Wespelaar-Tildonk,-7
Nijlen,-7
Beuzet,-7
Sclessin,-7
Hever,-7
Leman,-7
Jemeppe-sur-Sambre-Marchandise,-7
Haacht,-7
Haacht-Wijkspoor,-7
Borgworm,-7
Mérode,-7
Hainin,-7
Esneux,-7
Pont-à-Celles,-7
Beersel,-7
Boortmeerbeek,-7
Zele,-7
Jemeppe-sur-Meuse,-7
Kapellen,-7
Ezemaal,-7
Harchies,-7
Charleroi-Centraal,-7
Rivage,-7
Beveren(Waas),-6
Ville-Pommeroeul,-6
Péruwelz,-6
Beervelde,-6
Wijgmaal,-6
Wolfstee,-6
Kapellen-Wijkspoor,-6
Doornik,-6
Neufvilles,-6
Neerwinden,-6
Brussel-West,-6
Genk,-6
Brussel-Schuman,-6
Gentbrugge,-6
Gent-Dampoort,-6
Montzen-Est,-6
Genval,-6
Moensberg,-6
Lens,-6
Gouy-lez-Piéton,-6
Terhulpen,-6
Antoing,-6
Bosvoorde,-6
Merelbeke-Centraal,-6
Hambos,-6
Bockstael,-6
De Hoek,-6
Tilff,-6
Tilly,-6
Eppegem,-6
Mechelen,-6
Maubray,-6
Masnuy-Saint-Pierre,-6
Marchienne-au-Pont,-6
Marche-lez-Ecaussinnes,-6
Poulseur,-5
Zellik,-5
Izegem,-5
Schaarbeek-Sas K/C,-5
Obourg-Marchandises,-5
Obourg,-5
Alken,-5
Neufvilles-Garage,-5
Simonis,-5
Fraipont,-5
Namen,-5
Callenelle,-5
Messancy,-5
Aalst,-5
Bokrijk,-5
Thurn en Taxis,-5
Blaton,-5
Tienen,-5
Hatrival,-5
Vertrijk,-5
Leopoldsburg,-5
Bergen,-5
Herentals,-5
Balen,-5
Assesse,-5
Lodelinsart,-5
La Louvière-Centrum,-5
Linkebeek,-5
Hony,-5
La Louvière-Industriestation,-5
Kapelle-op-den-Bos,-5
Rixensart,-5
Eigenbrakel,-5
Zwijndrecht,-4
Aiseau,-4
Angleur,-4
Auvelais,-4
Beringen,-4
Beverlo,-4
Bordet,-4
Châtelet,-4
Chaudfontaine,-4
Diesdelle,-4
Erembodegem,-4
Evere,-4
Familleureux,-4
Gentbrugge-Perron C.W.,-4
Godarville,-4
Groenendaal,-4
Haaltert,-4
Halle,-4
Hennuyères,-4
Hennuyères-Garage,-4
Hoeilaart,-4
Huizingen,-4
Kalmthout,-4
Kijkuit,-4
Kortenberg-Goederen,-4
Lembeek,-4
Lokeren,-4
Londerzeel,-4
Malderen,-4
Manage,-4
Méry,-4
Mouterij,-4
Nimy,-4
Saint-Ghislain,-4
Scheldewindeke,-4
's-Gravenbrakel,-4
Sint-Agatha-Berchem,-4
Sint-Gillis(Dendermonde),-4
Sint-Truiden,-4
Tamines,-4
Torhout,-4
Tubeke,-4
Vorst-Oost,-4
Walcourt,-4
Welle,-4
Zedelgem,-4
Zinnik,-4
Zolder,-4
Zonhoven,-4
Herzele,-3
Geraardsbergen,-3
Ukkel-Stalle,-3
Momalle,-3
Ukkel-Kalevoet,-3
Dave-Saint-Martin,-3
Schaarbeek-Josaphat,-3
Gendron-Celles,-3
Gembloux,-3
Mortsel-Deurnesteenweg,-3
Dinant,-3
Zottegem,-3
Weerde,-3
Asse,-3
Trooz,-3
Roux,-3
Bleret,-3
Ronet,-3
Ede,-3
Froyennes,-3
Thieu,-3
Leuze,-3
Baulers,-3
Rivage-Marchandises,-3
Lebbeke,-3
Voroux,-3
Remicourt,-3
Terhagen,-3
Engis,-3
Havré,-3
Floreffe,-3
Fleurus,-3
Farciennes,-3
Olne,-3
Fexhe-le-Haut-Clocher,-3
Flawinne,-3
Kinkempois-Formation,-3
Wezet,-3
Marloie,-3
Baasrode-Zuid,-3
Virton,-3
Buggenhout,-3
Ligny,-3
Hasselt-Aflos L.35/1,-3
Haren,-3
Lonzée,-3
Zolder-Kruissporen,-3
Melle-T.W.,-3
Melreux-Hotton,-3
Hamont,-3
Hillegem,-3
Verviers-Paleis,-3
Sint-Genesius-Rode,-3
Halanzy,-3
Chênée,-3
Couillet,-3
Grupont,-3
Heusden,-3
Courcelles-Motte,-3
Ghlin,-3
Izegem-Sas,-2
Holleken,-2
Lobbes,-2
Hoei,-2
Lokeren-Oost,-2
Athus,-2
Hermalle-sous-Huy,-2
Heizijde,-2
Marche-les-Dames,-2
Marche-les-Dames-Marchandises,-2
Heist,-2
Heide,-2
Havinnes,-2
Mariembourg,-2
Haversin-Garage,-2
Haversin,-2
Haute-Flône,-2
Ham-sur-Sambre,-2
Menen,-2
Merchtem,-2
Godinne,-2
Moeskroen,-2
Mollem,-2
Mont-Saint-Guibert,-2
Gedinne,-2
Moustier,-2
Moustier-Garage,-2
Anzegem,-2
Munkzwalm,-2
Naninne,-2
Franière,-2
Neerpelt,-2
Nessonvaux,-2
Neufchâteau,-2
Fontaine-Valmont,-2
Nieuwkerken-Waas,-2
Faux,-2
Olen,-2
Oostende,-2
Opwijk,-2
Opzullik,-2
Essene-Lombeek,-2
Essen,-2
Oudenaarde,-2
Ougrée,-2
Paliseul,-2
Pepinster,-2
Philippeville,-2
Erbisoeul,-2
Poix-Saint-Hubert,-2
Eichem,-2
Pry,-2
Quaregnon,-2
Rhisnes,-2
Rhisnes-Sas,-2
Edingen,-2
Rochefort-Jemelle,-2
Roeselare,-2
Ronet-Vorming,-2
Dolhain-Gileppe,-2
Yves-Gomezée,-2
Diksmuide,-2
Court-Saint-Etienne,-2
Yvoir,-2
Ciney,-2
Sclaigneaux,-2
Château-de-Seilles,-2
Seraing,-2
Chastre,-2
Charleroi-West,-2
Chapois,-2
Antwerpen-W.H.-B.Kallo,-2
Sint-Denijs-Boekel,-2
Burst,-2
Brugge-Sint-Pieters,-2
Sint-Martens-Bodegem,-2
Sint-Niklaas-Oost,-2
Statte,-2
Stockem,-2
Bracquegnies,-2
Ternat,-2
Bomal,-2
Boechout,-2
Binche,-2
Andenne,-2
Ampsin,-2
Turnhout,-2
Verviers-Centraal,-2
Viane-Moerbeke,-2
Vichte,-2
Berzée,-2
Bertrix,-2
