station,min_delay
Welkenraedt,-189
Antwerpen-Luchtbal,-65
Antwerpen-Noorderdokken,-65
Melle,-63
Merelbeke,-62
Gent-Sint-Pieters,-58
Wetteren,-58
Deinze-Wijksporen,-57
Harelbeke,-57
De Pinte,-57
Deinze,-57
Waregem,-57
Schaarbeek,-56
Lot,-47
Oostende,-46
Berlaar,-46
Liège-Guillemins-Faisceau,-43
Oostkamp,-41
Beernem,-40
Maria-Aalter,-39
Charleroi-Centraal,-39
Aalter,-38
Hansbeke,-36
Bellem,-36
Landegem,-34
Kwatrecht,-34
Drongen,-33
Anderlecht,-33
Antwerpen-Dam,-32
Oudegem,-32
Schoonaarde,-32
Wichelen,-32
Schellebelle,-31
Testelt,-30
Zichem,-30
Lier,-29
Schulen,-29
Langdorp,-29
Schulen-Sas,-29
Diest,-29
Liers-Faisceau,-29
Begijnendijk,-28
Heist-op-den-Berg,-28
Melkouwen,-28
Booischot,-28
Schaarbeek-Perron P.C.I.,-27
Machelen,-26
Antwerpen-Berchem,-25
Liedekerke,-25
Merelbeke-Centraal,-25
Antwerpen-Oost,-25
Liers,-25
Mortsel,-24
Aarschot,-24
Wezemaal,-24
Milmort,-24
Herstal,-21
Florival,-20
Bierset-Awans,-20
Buizingen,-19
Balegem-Zuid,-19
Schaarbeek-NOS,-19
Ans,-19
Ruisbroek,-18
Vorst-Zuid,-18
Moortsele,-17
Gastuche,-17
De Panne,-16
Eerken,-16
Haren-Zuid,-16
Mortsel-Liersesteenweg,-16
Hatrival,-15
Brussel-Noord,-15
Kontich-Lint,-15
Hove,-15
Sint-Job,-14
Antwerpen-W.H.-B.Kallo,-14
Brussel-Zuid,-14
Pecrot,-14
Puurs,-13
Brussels Airport - Zaventem,-13
Graide,-13
Brussel-Kapellekerk,-12
Sinaai,-12
Lens,-12
Brussel-Centraal,-12
Brussel-Congres,-12
Willebroek,-12
Bornem,-11
Belsele,-11
Diepenbeek,-11
Antwerpen-Centraal,-11
Delta,-11
Forchies,-11
Bierges-Walibi,-11
Piéton,-11
Sint-Joris-Weert,-11
Carnières,-11
Carlsbourg,-11
Sint-Katelijne-Waver,-10
Paliseul,-10
Oud-Heverlee,-10
Froyennes,-10
Leuven,-10
La Louvière-Zuid,-10
Maffle,-10
Balegem-Dorp,-10
Basse-Wavre,-10
Waver,-10
Hoboken-Polder,-10
Heverlee,-10
Limal,-10
Boom,-10
Herent,-10
Buda,-10
Morlanwelz,-10
Temse,-10
Duffel,-10
Etterbeek,-10
Obaix-Buzet,-10
Arcaden,-9
Ottignies,-9
Saint-Denis-Bovesse,-9
Hemiksem,-9
Erps-Kwerps,-9
Brugelette,-9
Kortemark,-9
Kortenberg,-9
Aarsele,-9
Ottignies-Relais,-9
Tielt,-9
Schelle,-9
Mévergnies-Attre,-9
Veltem,-9
Niel,-9
Nossegem,-8
Zaventem,-8
Florée,-8
Namur-Herbatte,-8
Sint-Niklaas,-8
Charleroi-Faisceau A,-8
Dendermonde,-8
Dilbeek,-8
Marcinelle,-8
Diegem,-8
Cambron-Casteau,-8
Eppegem,-8
Serskamp,-8
Nijvel,-8
Lede,-8
Lillois,-8
Ruisbroek-Sauvegarde,-8
Rivage-Marchandises,-8
Jambes,-8
Kessel,-8
Mechelen-Nekkerspoel,-8
Vilvoorde,-8
Muizen,-7
Antwerpen-Kiel,-7
Brussel-Schuman,-7
Harchies,-7
Bouwel,-7
Hainin,-7
Tilleur,-7
Boortmeerbeek,-7
Denderleeuw,-7
Mérode,-7
Sclessin,-7
Hever,-7
Watermaal,-7
Haacht-Wijkspoor,-7
Haacht,-7
Kalmthout,-7
Wespelaar-Tildonk,-7
Scheldewindeke,-7
Ekeren,-7
Kapellen,-7
Schaarbeek-Josaphat,-7
Saint-Ghislain,-7
Leman,-7
Ezemaal,-7
Jemeppe-sur-Meuse,-7
Jemeppe-sur-Sambre-Marchandise,-7
Profondsart,-7
Pont-de-Seraing,-7
Gedinne-Marchandises,-7
Flémalle-Grande,-7
Gedinne,-7
Sint-Mariaburg,-7
Kapellen-Wijkspoor,-6
Landskouter,-6
Wijgmaal,-6
Bas-Oha,-6
Beveren(Waas),-6
Bleret,-6
Ville-Pommeroeul,-6
Tilly-Garage,-6
Bosvoorde,-6
Brussel-West,-6
Terhulpen,-6
De Hoek,-6
Rixensart,-6
Antoing,-6
Péruwelz,-6
Gentbrugge,-6
Genval,-6
Nijlen,-6
Gouy-lez-Piéton,-6
Groot-Bijgaarden,-6
Neufvilles,-6
Hambos,-6
Neerwinden,-6
Montzen-Est,-6
Wolfstee,-6
Huizingen,-6
Mechelen,-6
Maubray,-6
Masnuy-Saint-Pierre,-6
Marche-lez-Ecaussinnes,-6
Mortsel-Oude God,-5
