train,station,arrival_delay,departure_delay
1503,Aalst,1373,1373
1503,Aalter,37,92
1503,Aarschot,346,346
1503,Alken,313,335
1503,Anderlecht,99,99
1503,Beernem,97,97
1503,Bellem,69,69
1503,Bokrijk,406,430
1503,Brugge,,63
1503,Brussel-Centraal,116,166
1503,Brussel-Congres,133,133
1503,Brussel-Kapellekerk,142,142
1503,Brussel-Noord,146,157
1503,Brussel-Zuid,95,142
1503,Denderleeuw,1254,1297
1503,Diegem,184,184
1503,Diest,402,402
1503,Drongen,-13,-13
1503,Erembodegem,1477,1477
1503,Erps-Kwerps,100,101
1503,Ezemaal,142,142
1503,Genk,428,
1503,Gent-Sint-Pieters,13,55
1503,Hansbeke,48,48
1503,Haren-Zuid,189,189
1503,Hasselt,401,401
1503,Herent,189,189
1503,Kiewit,427,433
1503,Kortenberg,151,151
1503,Kortenberg-Goederen,575,575
1503,Kwatrecht,959,959
1503,Landegem,-52,-52
1503,Landen,138,147
1503,Langdorp,373,373
1503,Lede,1253,1253
1503,Leuven,147,159
1503,Liedekerke,1335,1335
1503,Maria-Aalter,96,96
1503,Melle,546,546
1503,Merelbeke,520,520
1503,Neerwinden,124,124
1503,Nossegem,193,193
1503,Oostkamp,85,85
1503,Schaarbeek,146,146
1503,Schellebelle,1108,1108
1503,Schulen,506,506
1503,Schulen-Sas,517,517
1503,Serskamp,1248,1248
1503,Sint-Truiden,230,325
1503,Testelt,377,377
1503,Tienen,59,150
1503,Veltem,182,182
1503,Vertrijk,144,144
1503,Wetteren,1042,1042
1503,Wezemaal,344,344
1503,Zaventem,194,194
1503,Zichem,377,377
1504,Aalst,202,202
1504,Aalter,30,74
1504,Aarschot,312,312
1504,Aarsele,252,252
1504,Alken,247,264
1504,Anderlecht,54,54
1504,Baasrode-Zuid,-92,-92
1504,Beernem,98,98
1504,Bellem,79,79
1504,Bokrijk,268,285
1504,Boortmeerbeek,29,29
1504,Brugge,,63
1504,Brugge-Bundels U/V,157,157
1504,Brussel-Centraal,39,74
1504,Brussel-Congres,44,44
1504,Brussel-Kapellekerk,60,60
1504,Brussel-Noord,45,79
1504,Brussel-Zuid,35,74
1504,Buggenhout,-110,-110
1504,Deinze,194,194
1504,Deinze-Wijksporen,241,241
1504,Denderleeuw,200,200
1504,Dendermonde,-85,-85
1504,De Pinte,154,154
1504,Diegem,92,92
1504,Diest,338,338
1504,Drongen,-5,-5
1504,Erembodegem,186,186
1504,Erps-Kwerps,3,3
1504,Ezemaal,55,55
1504,Genk,251,
1504,Gent-Sint-Pieters,16,45
1504,Haacht,-55,-55
1504,Haacht-Wijkspoor,-34,-34
1504,Hambos,-96,-96
1504,Hansbeke,60,60
1504,Haren-Zuid,92,92
1504,Hasselt,305,279
1504,Herent,92,92
1504,Hever,57,57
1504,Kapelle-op-den-Bos,-232,-232
1504,Kiewit,295,305
1504,Kortenberg,56,56
1504,Kortenberg-Goederen,679,679
1504,Kwatrecht,157,157
1504,Landegem,4,4
1504,Landen,43,56
1504,Langdorp,339,339
1504,Lede,193,193
1504,Leuven,72,94
1504,Lichtervelde,144,144
1504,Liedekerke,241,241
1504,Londerzeel,-166,-166
1504,Malderen,-147,-147
1504,Maria-Aalter,95,95
1504,Mechelen,-71,10
1504,Melle,143,143
1504,Merelbeke,169,169
1504,Muizen,45,45
1504,Neerwinden,45,45
1504,Nossegem,96,96
1504,Oostkamp,82,82
1504,Oudegem,-111,-111
1504,Schaarbeek,55,55
1504,Schellebelle,140,140
1504,Schoonaarde,-56,-56
1504,Schulen,338,338
1504,Schulen-Sas,337,337
1504,Serskamp,216,216
1504,Sint-Truiden,135,265
1504,Testelt,352,352
1504,Tielt,216,216
1504,Tienen,-40,76
1504,Torhout,107,107
1504,Veltem,85,85
1504,Vertrijk,48,48
1504,Wespelaar-Tildonk,-44,-44
1504,Wetteren,134,134
1504,Wezemaal,322,322
1504,Wichelen,-45,-45
1504,Wijgmaal,-100,-100
1504,Zaventem,100,100
1504,Zedelgem,104,104
1504,Zichem,324,324
1505,Aalst,403,403
1505,Aalter,84,126
1505,Aarschot,245,245
1505,Aarsele,333,333
1505,Alken,195,213
1505,Anderlecht,105,105
1505,Beernem,126,126
1505,Bellem,131,131
1505,Blankenberge,,45
1505,Bockstael,46,46
1505,Bokrijk,245,269
1505,Brugge,89,73
1505,Brugge-Bundels U/V,291,291
1505,Brugge-Sint-Pieters,45,45
