train_id,station
1504,Brugge
1504,Oostkamp
1504,Beernem
1504,Maria-Aalter
1504,Aalter
1504,Bellem
1504,Hansbeke
1504,Landegem
1504,Drongen
1504,Gent-Sint-Pieters
1504,Anderlecht
1505,Brugge
1504,Brussel-Zuid
1505,Oostkamp
1504,Brussel-Kapellekerk
1505,Beernem
1504,Brussel-Centraal
1504,Brussel-Congres
1505,Maria-Aalter
1504,Brussel-Noord
1505,Aalter
1505,Bellem
1504,Schaarbeek
1529,Hasselt
1504,Haren-Zuid
1505,Hansbeke
1504,Diegem
1504,Zaventem
1504,Nossegem
1505,Landegem
1505,Drongen
1504,Kortenberg
1504,Erps-Kwerps
1529,Alken
1504,Veltem
1504,Herent
1505,Gent-Sint-Pieters
1504,Leuven
1529,Sint-Truiden
1504,Vertrijk
1527,Brugge
1529,Landen
1504,Tienen
1527,Brugge-Sint-Pieters
1529,Neerwinden
1529,Ezemaal
1504,Ezemaal
1504,Neerwinden
1505,Anderlecht
1504,Landen
1529,Tienen
1530,Genk
1506,Brugge
1529,Vertrijk
1505,Brussel-Zuid
1505,Brussel-Kapellekerk
1530,Bokrijk
1506,Oostkamp
1504,Sint-Truiden
1505,Brussel-Centraal
1506,Beernem
1506,Maria-Aalter
1505,Brussel-Congres
1530,Kiewit
1529,Leuven
1505,Brussel-Noord
1504,Alken
1529,Herent
1506,Aalter
1506,Bellem
1505,Schaarbeek
1529,Veltem
1529,Erps-Kwerps
1506,Hansbeke
1529,Kortenberg
1505,Haren-Zuid
1530,Hasselt
1505,Diegem
1529,Nossegem
1505,Zaventem
1529,Zaventem
1506,Landegem
1529,Diegem
1505,Nossegem
1505,Kortenberg
1529,Haren-Zuid
1504,Hasselt
1506,Drongen
1505,Erps-Kwerps
1529,Schaarbeek
1530,Alken
1505,Veltem
1505,Herent
1529,Brussel-Noord
1504,Kiewit
1506,Gent-Sint-Pieters
1505,Leuven
1529,Brussel-Congres
1530,Sint-Truiden
1504,Bokrijk
1529,Brussel-Centraal
1529,Brussel-Kapellekerk
1505,Vertrijk
1529,Brussel-Zuid
1528,Brugge
1530,Landen
1507,Blankenberge
1505,Tienen
1528,Brugge-Sint-Pieters
1529,Anderlecht
1530,Neerwinden
1530,Ezemaal
1505,Ezemaal
1505,Neerwinden
1507,Brugge-Sint-Pieters
1506,Anderlecht
1530,Tienen
1505,Landen
1531,Genk
1507,Brugge
1530,Vertrijk
1506,Brussel-Zuid
1506,Brussel-Kapellekerk
1531,Bokrijk
1507,Oostkamp
1505,Sint-Truiden
1506,Brussel-Centraal
1507,Beernem
1507,Maria-Aalter
1531,Kiewit
1506,Brussel-Congres
1530,Leuven
1506,Brussel-Noord
1529,Gent-Sint-Pieters
1505,Alken
1530,Herent
1507,Aalter
1530,Veltem
1529,Drongen
1506,Schaarbeek
1507,Bellem
1530,Erps-Kwerps
1531,Hasselt
1506,Haren-Zuid
1530,Kortenberg
1507,Hansbeke
1529,Landegem
1530,Nossegem
1506,Diegem
1529,Hansbeke
1530,Zaventem
1506,Zaventem
1507,Landegem
1506,Nossegem
1529,Bellem
1530,Diegem
1505,Hasselt
1506,Kortenberg
1530,Haren-Zuid
1507,Drongen
1506,Erps-Kwerps
1530,Schaarbeek
1506,Veltem
1529,Aalter
1531,Alken
1506,Herent
1529,Maria-Aalter
1530,Brussel-Noord
1529,Beernem
1505,Kiewit
1507,Gent-Sint-Pieters
1530,Brussel-Congres
1506,Leuven
1531,Sint-Truiden
1529,Oostkamp
1530,Brussel-Centraal
1505,Bokrijk
1530,Brussel-Kapellekerk
1506,Vertrijk
1530,Brussel-Zuid
1529,Brugge
1531,Landen
1508,Blankenberge
1529,Brugge-Sint-Pieters
1506,Tienen
1530,Anderlecht
1531,Neerwinden
1531,Ezemaal
1506,Ezemaal
1506,Neerwinden
1508,Brugge-Sint-Pieters
1507,Anderlecht
1531,Tienen
1506,Landen
1532,Genk
1508,Brugge
1531,Vertrijk
1507,Brussel-Zuid
1507,Brussel-Kapellekerk
1532,Bokrijk
1508,Oostkamp
1506,Sint-Truiden
1508,Beernem
1507,Brussel-Centraal
1507,Brussel-Congres
1532,Kiewit
1508,Maria-Aalter
1531,Leuven
1530,Gent-Sint-Pieters
1507,Brussel-Noord
1508,Aalter
1531,Herent
1506,Alken
1531,Veltem
1530,Drongen
1508,Bellem
1507,Schaarbeek
1531,Erps-Kwerps
1531,Kortenberg
1508,Hansbeke
