route,train,departure
L B1-2,1974,2022-12-31 23:04:00.000000 +00:00
L B1-2,1995,2022-12-31 23:05:00.000000 +00:00
IC 06-2,3745,2022-12-31 23:31:00.000000 +00:00
IC 08,2623,2022-12-31 23:33:00.000000 +00:00
L B19,4046,2022-12-31 23:48:00.000000 +00:00
IC 08,2604,2023-01-01 03:36:00.000000 +00:00
IC 01,527,2023-01-01 03:37:00.000000 +00:00
L B19,4003,2023-01-01 03:41:00.000000 +00:00
IC 01,504,2023-01-01 03:43:00.000000 +00:00
IC 10,4325,2023-01-01 03:49:00.000000 +00:00
L B19,4004,2023-01-01 03:50:00.000000 +00:00
IC 06-1,1903,2023-01-01 03:51:00.000000 +00:00
IC 02,1826,2023-01-01 04:05:00.000000 +00:00
IC 31,3105,2023-01-01 04:05:00.000000 +00:00
L B10-1,2076,2023-01-01 04:06:00.000000 +00:00
IC 04-1,727,2023-01-01 04:07:00.000000 +00:00
IC 29,3628,2023-01-01 04:07:00.000000 +00:00
L L1-1,5275,2023-01-01 04:08:00.000000 +00:00
IC 03,1504,2023-01-01 04:09:00.000000 +00:00
IC 06-2,3704,2023-01-01 04:09:00.000000 +00:00
IC 23-1,2303,2023-01-01 04:11:00.000000 +00:00
IC 11,3405,2023-01-01 04:12:00.000000 +00:00
IC 06-2,3705,2023-01-01 04:19:00.000000 +00:00
IC 01,528,2023-01-01 04:22:00.000000 +00:00
L 28,855,2023-01-01 04:23:00.000000 +00:00
L 11,6077,2023-01-01 04:31:00.000000 +00:00
IC 06-2,3726,2023-01-01 04:31:00.000000 +00:00
L 28,876,2023-01-01 04:33:00.000000 +00:00
IC 29,3629,2023-01-01 04:35:00.000000 +00:00
IC 08,2605,2023-01-01 04:36:00.000000 +00:00
IC 08,2626,2023-01-01 04:36:00.000000 +00:00
IC 04-1,705,2023-01-01 04:37:00.000000 +00:00
IC 10,4326,2023-01-01 04:37:00.000000 +00:00
IC 20,2227,2023-01-01 04:39:00.000000 +00:00
IC 23-2,2804,2023-01-01 04:39:00.000000 +00:00
IC 22,3326,2023-01-01 04:40:00.000000 +00:00
IC 06-1,1927,2023-01-01 04:41:00.000000 +00:00
L 13-2,5977,2023-01-01 04:41:00.000000 +00:00
IC 20,2205,2023-01-01 04:41:00.000000 +00:00
IC 01,505,2023-01-01 04:43:00.000000 +00:00
IC 06-1,1905,2023-01-01 04:44:00.000000 +00:00
L B1-1,1776,2023-01-01 04:45:00.000000 +00:00
IC 09,2904,2023-01-01 04:46:00.000000 +00:00
IC 17,2526,2023-01-01 04:47:00.000000 +00:00
L B19,4027,2023-01-01 04:48:00.000000 +00:00
L B19,4005,2023-01-01 04:50:00.000000 +00:00
IC 06-1,1904,2023-01-01 04:51:00.000000 +00:00
L B3,2255,2023-01-01 04:51:00.000000 +00:00
L 11,6055,2023-01-01 04:52:00.000000 +00:00
IC 31,3126,2023-01-01 04:55:00.000000 +00:00
L B10-1,2055,2023-01-01 04:57:00.000000 +00:00
L B8-2,5676,2023-01-01 04:58:00.000000 +00:00
L B2-2,3755,2023-01-01 05:00:00.000000 +00:00
