route,train,station,latitude,longitude
L B19,4046,Brussels Airport - Zaventem,50.89642423705851,4.48395784718869
L B1-2,1995,Schaarbeek,50.87869266989909,4.378431524039678
L B1-2,1995,Brussel-Noord,50.85959959838314,4.361252318634824
L B19,4046,Haren,50.888870897054744,4.420030838936388
L B1-2,1995,Brussel-Congres,50.85178018311057,4.362219760072247
L B19,4046,Bordet,50.8777742574513,4.410014404476271
L B19,4046,Evere,50.8682065685372,4.401355062293686
L B1-2,1995,Brussel-Centraal,50.84531101978561,4.35675831766839
L B1-2,1995,Brussel-Kapellekerk,50.841176483587425,4.347842850133666
L B19,4046,Schaarbeek-Josaphat,50.86036295580361,4.395006896335754
L B19,4046,Meiser,50.854757009079435,4.394274208667772
L B19,4046,Brussel-Schuman,50.842848617923735,4.380023585783107
IC 08,2604,Antwerpen-Centraal,51.216862033537794,4.421083629947415
IC 01,527,Luik-Guillemins,50.62555824033023,5.565379651677738
IC 08,2604,Antwerpen-Berchem,51.1988702961587,4.432979473543215
L B19,4003,Brussel-Luxemburg,50.8388378181944,4.373972450132626
IC 01,504,Oostende,51.22794248315333,2.926625863197556
IC 08,2604,Mortsel-Deurnesteenweg,51.18231715581698,4.447187644772542
IC 08,2604,Mortsel-Oude God,51.171808099384776,4.455388660748518
L B19,4003,Brussel-Schuman,50.842848617923735,4.380023585783107
IC 01,527,Ans,50.66119033371017,5.509696653841267
IC 08,2604,Hove,51.15406191789155,4.465214254147384
IC 08,2604,Kontich-Lint,51.13368368793974,4.47689680687504
IC 01,527,Bierset-Awans,50.65843789782589,5.460786562650455
L B19,4003,Schaarbeek-Josaphat,50.86036295580361,4.395006896335754
L B19,4003,Meiser,50.854757009079435,4.394274208667772
L B19,4003,Evere,50.8682065685372,4.401355062293686
IC 08,2604,Duffel,51.091684329214274,4.492767295335319
IC 08,2604,Sint-Katelijne-Waver,51.07092770112268,4.495807348133646
IC 10,4325,Mol,51.19069542549062,5.114991873356337
IC 01,527,Voroux,50.6606950187532,5.431053889364091
IC 01,527,Fexhe-le-Haut-Clocher,50.66429943408551,5.397266517996256
L B19,4003,Bordet,50.8777742574513,4.410014404476271
L B19,4004,Nijvel,50.6004932591792,4.335288481441468
IC 06-1,1903,Brussel-Zuid,50.83580082886068,4.336052466325346
IC 08,2604,Mechelen-Nekkerspoel,51.030011706650285,4.490206757525486
IC 01,527,Momalle,50.6699148465472,5.367599886549959
IC 01,527,Remicourt,50.67864345114512,5.321422014482167
L B19,4004,Baulers,50.61231055874444,4.350260827251606
L B19,4003,Haren,50.888870897054744,4.420030838936388
IC 06-1,1903,Brussel-Kapellekerk,50.841176483587425,4.347842850133666
IC 01,527,Bleret,50.685313301749794,5.286061064312441
IC 01,527,Borgworm,50.69469090868593,5.248963056690451
IC 06-1,1903,Brussel-Centraal,50.84531101978561,4.35675831766839
IC 08,2604,Mechelen,51.01761866620954,4.483579828080118
IC 10,4325,Geel,51.169052549858385,4.989631494192635
IC 06-1,1903,Brussel-Congres,50.85178018311057,4.362219760072247
L B19,4004,Lillois,50.64367353246769,4.363394702678375
IC 01,504,Brugge,51.19727306937378,3.216852878213191
IC 10,4325,Olen,51.17402976913898,4.902499251852356
L B19,4003,Brussels Airport - Zaventem,50.89642423705851,4.48395784718869
IC 01,504,Oostkamp,51.15421490987769,3.257626153621203
IC 06-1,1903,Brussel-Noord,50.85959959838314,4.361252318634824
L B19,4003,Nossegem,50.88344233385105,4.506060556822931
L B19,4004,Eigenbrakel,50.68475914261351,4.37582344502392
IC 31,3105,Charleroi-Centraal,50.40419960613283,4.438439317373349
IC 01,504,Beernem,51.127984351343564,3.329867037752411
IC 02,1826,Antwerpen-Centraal,51.216862033537794,4.421083629947415
L B10-1,2076,Aalst,50.94312325212488,4.038683507111515
IC 01,527,Landen,50.7478945465236,5.079627434738533
IC 04-1,727,Poperinge,50.85444837837162,2.736306432736006
L B19,4003,Kortenberg,50.89300415046401,4.543312926825426
IC 29,3628,Leuven,50.88136571115078,4.716208512981546
L B19,4003,Erps-Kwerps,50.89654505809275,4.584930600736926
IC 06-1,1903,Schaarbeek,50.87869266989909,4.378431524039678
IC 01,504,Maria-Aalter,51.10757473497731,3.386700586663826
L L1-1,5275,Verviers-Centraal,50.587801914284064,5.854635277252846
IC 01,527,Neerwinden,50.76376087904074,5.036335028170957
IC 03,1504,Brugge,51.19727306937378,3.216852878213191
IC 06-2,3704,Brussel-Zuid,50.83580082886068,4.336052466325346
L B19,4004,Waterloo,50.715533973277154,4.383453531843166
IC 31,3105,Marchienne-au-Pont,50.41221701003429,4.394312434115766
IC 10,4325,Herentals,51.18107296652878,4.828554945607912
IC 06-1,1903,Haren-Zuid,50.889616892134654,4.415076991166356
L B19,4003,Veltem,50.90055001720875,4.633517445095211
IC 01,527,Ezemaal,50.77212949781888,4.994219913271197
IC 08,2604,Brussels Airport - Zaventem,50.89642423705851,4.48395784718869
L B10-1,2076,Erembodegem,50.91929248249657,4.055478044299816
IC 02,1826,Antwerpen-Berchem,51.1988702961587,4.432979473543215
IC 23-1,2303,Kortrijk,50.82441338246862,3.267774528680328
L B19,4003,Herent,50.90358929255643,4.672141055672479
L B19,4004,De Hoek,50.73924115834706,4.370342368877128
IC 06-2,3704,Brussel-Kapellekerk,50.841176483587425,4.347842850133666
IC 01,504,Aalter,51.09225779139449,3.447855382940146
IC 01,504,Bellem,51.08372389725801,3.487287359353551
IC 11,3405,Binche,50.408563854714735,4.172759557130057
IC 29,3628,Herent,50.90358929255643,4.672141055672479
IC 29,3628,Veltem,50.90055001720875,4.633517445095211
IC 31,3105,Roux,50.44308266140329,4.394000597539677
IC 08,2604,Nossegem,50.88344233385105,4.506060556822931
L L1-1,5275,Pepinster,50.56851509165158,5.810268537289398
IC 01,504,Hansbeke,51.07270818510425,3.537446874067181
IC 03,1504,Oostkamp,51.15421490987769,3.257626153621203
L B19,4004,Sint-Genesius-Rode,50.74811387437947,4.361939405198446
IC 31,3105,Courcelles-Motte,50.46202986102244,4.400412086453594
IC 10,4325,Wolfstee,51.16893689590626,4.789732769538759
IC 06-2,3704,Brussel-Centraal,50.84531101978561,4.35675831766839
IC 29,3628,Erps-Kwerps,50.89654505809275,4.584930600736926
IC 06-1,1903,Diegem,50.89062008445345,4.441952580833079
IC 10,4325,Bouwel,51.16584351392913,4.747581819970593
IC 08,2604,Kortenberg-Goederen,50.893766016593474,4.552069735832903
IC 02,1826,Antwerpen-Zuid,51.19721428415948,4.391779006927757
IC 08,2604,Kortenberg,50.89300415046401,4.543312926825426
IC 04-1,727,Ieper,50.847477690810365,2.876886293135154
IC 01,504,Landegem,51.06421597718289,3.57704576219589
IC 06-2,3704,Brussel-Congres,50.85178018311057,4.362219760072247
IC 29,3628,Kortenberg-Goederen,50.893766016593474,4.552069735832903
L B19,4004,Holleken,50.767015163038835,4.354770803816823
IC 29,3628,Kortenberg,50.89300415046401,4.543312926825426
IC 11,3405,Leval,50.43066476604268,4.211414215952779
IC 08,2604,Erps-Kwerps,50.89654505809275,4.584930600736926
L B10-1,2076,Denderleeuw,50.891621170603955,4.071431566061722
IC 01,527,Tienen,50.8079314339937,4.925636678946889
IC 29,3628,Nossegem,50.88344233385105,4.506060556822931
IC 03,1504,Beernem,51.127984351343564,3.329867037752411
IC 08,2604,Veltem,50.90055001720875,4.633517445095211
IC 01,504,Drongen,51.047503146402754,3.653586159319735
L L1-1,5275,Nessonvaux,50.57198592493546,5.741746104791544
IC 10,4325,Nijlen,51.15960165747347,4.664476042560455
L B19,4004,Linkebeek,50.77339212483393,4.339918296891916
IC 03,1504,Maria-Aalter,51.10757473497731,3.386700586663826
IC 06-2,3705,Bergen,50.454436770348934,3.942380575452241
IC 23-1,2303,Vichte,50.833503060446695,3.392847172084267
IC 08,2604,Herent,50.90358929255643,4.672141055672479
IC 02,1826,Zwijndrecht,51.213640244311954,4.324671903684774
L B10-1,2076,Liedekerke,50.882547620740944,4.095286581223728
IC 10,4325,Kessel,51.151056001612034,4.618457995215415
IC 06-2,3704,Brussel-Noord,50.85959959838314,4.361252318634824
IC 06-1,1903,Zaventem,50.885632548337114,4.469909600155111
IC 01,528,Welkenraedt,50.65937064749165,5.974267220223243
IC 31,3105,Luttre,50.50601206060288,4.384250449864734
L L1-1,5275,Fraipont,50.56512345525054,5.723431941853723
L B10-1,2076,Essene-Lombeek,50.882398692140114,4.115166601057234
IC 02,1826,Melsele,51.21082656268172,4.288506223071698
IC 23-1,2303,Anzegem,50.826216033991116,3.495470091998172
L 28,855,Kortrijk,50.82441338246862,3.267774528680328
IC 06-2,3704,Schaarbeek,50.87869266989909,4.378431524039678
L B19,4004,Sint-Job,50.793586213518765,4.360429545901712
IC 01,527,Vertrijk,50.83594652922674,4.836594370794067
L L1-1,5275,Olne,50.56639308394579,5.703133531852481
IC 01,504,Gent-Sint-Pieters,51.03551971701421,3.710101315832923
IC 03,1504,Aalter,51.09225779139449,3.447855382940146
IC 06-2,3705,Ghlin,50.487523509938555,3.90639438934079
IC 29,3628,Brussels Airport - Zaventem,50.89642423705851,4.48395784718869
L B19,4004,Diesdelle,50.79612575604862,4.373898950394146
IC 31,3105,Obaix-Buzet,50.53576499907677,4.363632083286799
IC 02,1826,Beveren(Waas),51.208473876872844,4.260777895162216
L L1-1,5275,Trooz,50.57328744502597,5.688448772904129
IC 04-1,727,Komen,50.771963555146186,2.999344828949002
IC 03,1504,Bellem,51.08372389725801,3.487287359353551
IC 10,4325,Lier,51.13604368651541,4.561775772658214
IC 06-2,3705,Erbisoeul,50.5078636253228,3.888447711073647
L B10-1,2076,Ternat,50.874645887542954,4.165480312447825
IC 01,528,Dolhain-Gileppe,50.62692515023561,5.93868646551414
L 28,855,Harelbeke,50.85629094542211,3.314655510959286
IC 03,1504,Hansbeke,51.07270818510425,3.537446874067181
L B19,4004,Boondaal,50.801951889621996,4.393613977537654
L B19,4004,Arcaden,50.809668214471365,4.398413181937825
L L1-1,5275,Chaudfontaine,50.58695623775602,5.644168864995391
IC 02,1826,Nieuwkerken-Waas,51.18508212954049,4.184439116403614
L B10-1,2076,Sint-Martens-Bodegem,50.8671660562188,4.2049393203133
IC 02,1826,Sint-Niklaas-Oost,51.176623377622434,4.159519894481113
IC 06-2,3705,Jurbeke,50.530554529567226,3.91061322221787
IC 04-1,727,Wervik,50.781855330951956,3.046976838293909
IC 23-1,2303,Oudenaarde,50.85060234685959,3.600671251569412
L 11,6077,Bertrix,49.85232574338336,5.268150158432898
IC 10,4325,Boechout,51.16382800159388,4.49404699525959
IC 03,1504,Landegem,51.06421597718289,3.57704576219589
IC 06-2,3726,Brussels Airport - Zaventem,50.89642423705851,4.48395784718869
IC 29,3628,Schaarbeek,50.87869266989909,4.378431524039678
IC 01,528,Verviers-Paleis,50.59092927829129,5.865284693352242
IC 31,3105,Nijvel,50.6004932591792,4.335288481441468
IC 03,1504,Drongen,51.047503146402754,3.653586159319735
IC 06-2,3705,Masnuy-Saint-Pierre,50.536335796446835,3.962143546959787
IC 01,527,Leuven,50.88136571115078,4.716208512981546
L L1-1,5275,Chênée,50.60835327318151,5.614856781125281
L 28,876,Dendermonde,51.022951980794005,4.101327011759538
L B10-1,2076,Dilbeek,50.86638979130907,4.243574071280418
IC 02,1826,Sint-Niklaas,51.17159935285642,4.143282196338587
L B19,4004,Etterbeek,50.8213075599027,4.39049871944438
IC 10,4325,Mortsel,51.18289070974223,4.448811507867791
L 28,855,Waregem,50.89242835003542,3.42559831780833
IC 06-2,3705,Neufvilles,50.543523197055165,4.010763312378273
IC 29,3629,Landen,50.7478945465236,5.079627434738533
IC 06-2,3705,Neufvilles-Garage,50.5460562377274,4.015352406771576
IC 01,528,Verviers-Centraal,50.587801914284064,5.854635277252846
IC 11,3405,La Louvière-Zuid,50.464993656778184,4.19010515835262
IC 04-1,727,Menen,50.79946001891374,3.113887199330697
IC 01,527,Herent,50.90358929255643,4.672141055672479
L L1-1,5275,Angleur,50.61253000192086,5.600948994820556
L 28,876,Oudegem,51.014737627992446,4.062437122289404
IC 08,2605,Antwerpen-Centraal,51.216862033537794,4.421083629947415
L B10-1,2076,Groot-Bijgaarden,50.86839848514289,4.274515963982332
IC 23-1,2303,Sint-Denijs-Boekel,50.874198889945404,3.698421279546744
IC 08,2626,Leuven,50.88136571115078,4.716208512981546
IC 04-1,705,Antwerpen-Centraal,51.216862033537794,4.421083629947415
IC 10,4326,Neerpelt,51.22237547958096,5.437315565832811
L B19,4004,Mouterij,50.83101229975816,4.378599139352779
IC 31,3105,Lillois,50.64367353246769,4.363394702678375
IC 29,3628,Brussel-Noord,50.85959959838314,4.361252318634824
IC 10,4325,Antwerpen-Berchem,51.1988702961587,4.432979473543215
IC 06-2,3726,Schaarbeek,50.87869266989909,4.378431524039678
L B10-1,2076,Sint-Agatha-Berchem,50.873033681208796,4.290747342200437
IC 02,1826,Belsele,51.15105293420193,4.088971325808107
IC 01,527,Veltem,50.90055001720875,4.633517445095211
IC 01,527,Erps-Kwerps,50.89654505809275,4.584930600736926
L 28,876,Schoonaarde,51.003138571181125,4.011262908092702
IC 29,3628,Brussel-Congres,50.85178018311057,4.362219760072247
IC 23-2,2804,Brussel-Zuid,50.83580082886068,4.336052466325346
IC 20,2227,Dendermonde,51.022951980794005,4.101327011759538
IC 02,1826,Sinaai,51.143500701126385,4.068856389093756
IC 23-1,2303,Munkzwalm,50.875656666067506,3.731514205002289
IC 04-1,727,Wevelgem,50.81106670481992,3.182483664800671
IC 01,527,Kortenberg,50.89300415046401,4.543312926825426
IC 22,3326,Antwerpen-Centraal,51.216862033537794,4.421083629947415
IC 03,1504,Gent-Sint-Pieters,51.03551971701421,3.710101315832923
IC 29,3629,Neerwinden,50.76376087904074,5.036335028170957
IC 01,528,Pepinster,50.56851509165158,5.810268537289398
IC 10,4326,Overpelt,51.215549622947385,5.423126886234479
IC 06-2,3705,Zinnik,50.57312318221692,4.069352245033392
L B19,4004,Brussel-Luxemburg,50.8388378181944,4.373972450132626
IC 29,3628,Brussel-Centraal,50.84531101978561,4.35675831766839
IC 20,2227,Sint-Gillis(Dendermonde),51.02208185742186,4.117208570505743
IC 23-2,2804,Brussel-Kapellekerk,50.841176483587425,4.347842850133666
IC 20,2205,Gent-Sint-Pieters,51.03551971701421,3.710101315832923
IC 08,2605,Antwerpen-Berchem,51.1988702961587,4.432979473543215
IC 08,2626,Herent,50.90358929255643,4.672141055672479
IC 11,3405,La Louvière-Centrum,50.477715304331944,4.180068630195054
IC 06-1,1927,Brussels Airport - Zaventem,50.89642423705851,4.48395784718869
IC 02,1826,Lokeren-Oost,51.10977280180321,3.991494840923161
IC 01,527,Nossegem,50.88344233385105,4.506060556822931
