station,delay,arrival_count,departure_count,difference_count
1034,44,10,1,1
212,3,1286,1551,17
82,10,186,214,2
523,15,208,135,17
401,7,573,600,4
759,6,1520,1666,21
1350,6,347,330,2
342,29,8,10,2
628,14,160,171,5
1130,-1,1820,1789,2
1063,19,57,57,2
488,-3,1,1,8
409,1,1894,2383,2222
864,6,1215,1225,2
855,27,17,16,1
380,29,32,28,1
707,8,199,273,2
458,12,203,81,1
127,4,2242,2360,5
975,11,264,293,1
427,10,103,112,1
37,11,824,426,18
790,7,166,181,1
1348,6,342,335,1
1245,19,15,21,1
1182,11,53,61,1
1009,1,4899,7015,5015
232,14,290,295,1
528,0,2715,2729,5592
1223,11,50,39,2
383,7,574,761,2
916,-1,2541,2536,4
1213,23,34,47,3
1152,2,1675,2132,185
1207,8,55,58,11
546,17,7,9,1
1060,1,3934,5216,3696
1088,2,5143,4227,934
1224,-1,6130,1797,369
989,5,665,905,153
781,6,364,447,4
151,17,90,107,2
749,5,1216,1217,1
105,2,1441,2246,39
715,35,53,32,1
1177,3,1737,1726,163
644,-1,1474,1470,145
726,16,241,201,20
427,20,24,30,1
824,4,767,1255,144
742,6,1043,1221,6
1063,8,459,452,1
114,15,34,25,1
455,19,285,266,22
287,10,36,56,2
1212,33,21,17,1
524,0,2,2,27
643,8,51,83,4
360,0,15939,20580,27131
319,27,28,21,2
218,24,54,53,3
1254,15,9,11,2
1152,16,59,66,1
1009,2,2509,3262,218
424,19,57,61,1
920,10,160,171,5
1238,0,29405,24646,44609
220,51,34,27,1
551,3,2520,2520,1
384,0,16060,14498,23154
1663,22,35,31,1
1092,20,40,51,2
583,12,88,144,2
192,24,7,9,1
920,13,93,97,2
2089,0,36353,36473,79559
317,46,4,6,1
188,0,3429,4972,4453
287,25,5,2,1
781,2,2008,3138,1157
732,4,3323,3191,265
427,3,604,809,43
815,14,212,242,2
221,24,318,286,3
739,1,4670,8340,6120
807,0,10706,10696,19225
219,12,406,232,2
700,8,311,381,4
360,29,28,28,2
455,1,20022,16646,14254
25,10,235,241,1
218,6,1887,1860,271
77,16,117,114,4
118,8,496,527,1
933,7,573,579,3
535,8,276,310,2
77,-1,2462,3,3127
941,13,22,30,1
391,4,441,555,5
19,6,318,387,20
911,6,977,914,29
782,4,678,938,1
1744,29,22,17,1
319,21,57,41,1
100,5,40,80,19
546,5,118,292,20
66,15,63,66,1
457,-1,3379,3087,18
442,-2,332,1,1
231,5,531,734,1
684,15,175,143,2
434,5,218,250,12
635,15,131,138,1
1092,1,3358,3846,2236
258,6,81,105,2
414,5,1141,1350,2
541,38,8,9,1
724,-4,3,3,41
1034,14,137,123,4
1159,0,15313,12613,25318
725,0,39170,38865,79623
229,2,4762,5029,287
210,47,11,4,2
34,1,1160,2806,617
789,14,110,111,1
523,6,1401,756,110
726,2,10217,8337,3454
335,-3,331,327,1
801,8,136,128,5
210,30,60,35,2
6,31,7,7,1
692,1,1579,1413,479
148,7,518,566,1
266,8,356,387,11
810,43,14,18,1
203,4,2662,3145,47
447,5,1358,1570,10
706,1,5855,8005,8401
360,23,52,67,1
232,-1,2441,2441,39
939,5,887,542,90
724,8,277,292,25
931,-1,5113,4646,8
632,21,29,29,1
954,6,145,179,1
401,5,1003,1073,10
351,5,208,314,2
1184,1,3734,5729,3777
842,1,2187,3757,4695
146,19,13,6,1
