delay_s,dow,hour
495,0,0
43,0,3
82,0,4
147,0,5
220,0,6
247,0,7
251,0,8
217,0,9
210,0,10
169,0,11
171,0,12
170,0,13
190,0,14
233,0,15
295,0,16
273,0,17
216,0,18
172,0,19
157,0,20
124,0,21
167,0,22
174,0,23
310,1,0
25,1,3
73,1,4
105,1,5
180,1,6
246,1,7
231,1,8
222,1,9
169,1,10
156,1,11
156,1,12
176,1,13
166,1,14
227,1,15
308,1,16
274,1,17
198,1,18
172,1,19
174,1,20
113,1,21
129,1,22
119,1,23
234,2,0
26,2,3
64,2,4
96,2,5
196,2,6
205,2,7
192,2,8
196,2,9
150,2,10
150,2,11
176,2,12
160,2,13
145,2,14
177,2,15
236,2,16
246,2,17
183,2,18
152,2,19
154,2,20
136,2,21
142,2,22
201,2,23
259,3,0
26,3,3
98,3,4
145,3,5
186,3,6
254,3,7
257,3,8
219,3,9
196,3,10
183,3,11
160,3,12
155,3,13
182,3,14
222,3,15
263,3,16
277,3,17
187,3,18
175,3,19
250,3,20
247,3,21
180,3,22
245,3,23
351,4,0
36,4,3
86,4,4
113,4,5
168,4,6
203,4,7
181,4,8
172,4,9
166,4,10
155,4,11
155,4,12
171,4,13
206,4,14
254,4,15
330,4,16
322,4,17
251,4,18
205,4,19
204,4,20
165,4,21
188,4,22
230,4,23
299,5,0
104,5,4
117,5,5
97,5,6
107,5,7
141,5,8
176,5,9
174,5,10
143,5,11
154,5,12
154,5,13
132,5,14
151,5,15
145,5,16
166,5,17
150,5,18
155,5,19
179,5,20
208,5,21
251,5,22
299,5,23
18,6,0
118,6,4
113,6,5
82,6,6
82,6,7
98,6,8
117,6,9
98,6,10
113,6,11
104,6,12
111,6,13
119,6,14
139,6,15
160,6,16
159,6,17
161,6,18
188,6,19
210,6,20
164,6,21
193,6,22
162,6,23
