delay_s,dow,hour
298,0,0
45,0,3
64,0,4
131,0,5
174,0,6
204,0,7
214,0,8
198,0,9
188,0,10
153,0,11
159,0,12
164,0,13
185,0,14
191,0,15
236,0,16
216,0,17
188,0,18
166,0,19
166,0,20
150,0,21
190,0,22
234,0,23
287,1,0
57,1,3
61,1,4
90,1,5
149,1,6
209,1,7
189,1,8
194,1,9
154,1,10
133,1,11
160,1,12
169,1,13
150,1,14
181,1,15
242,1,16
219,1,17
161,1,18
176,1,19
169,1,20
155,1,21
154,1,22
169,1,23
172,2,0
49,2,3
54,2,4
87,2,5
143,2,6
155,2,7
152,2,8
160,2,9
142,2,10
123,2,11
175,2,12
147,2,13
143,2,14
154,2,15
177,2,16
192,2,17
166,2,18
137,2,19
155,2,20
152,2,21
190,2,22
188,2,23
260,3,0
54,3,3
75,3,4
117,3,5
151,3,6
210,3,7
227,3,8
194,3,9
179,3,10
163,3,11
156,3,12
154,3,13
182,3,14
201,3,15
203,3,16
200,3,17
166,3,18
169,3,19
253,3,20
274,3,21
255,3,22
157,3,23
431,4,0
59,4,3
69,4,4
96,4,5
142,4,6
160,4,7
159,4,8
149,4,9
149,4,10
139,4,11
166,4,12
162,4,13
200,4,14
226,4,15
271,4,16
264,4,17
218,4,18
190,4,19
207,4,20
189,4,21
241,4,22
160,4,23
362,5,0
102,5,4
118,5,5
64,5,6
94,5,7
123,5,8
155,5,9
163,5,10
126,5,11
129,5,12
134,5,13
114,5,14
139,5,15
145,5,16
137,5,17
129,5,18
140,5,19
139,5,20
239,5,21
289,5,22
251,5,23
419,6,0
104,6,4
106,6,5
64,6,6
84,6,7
90,6,8
101,6,9
101,6,10
102,6,11
102,6,12
101,6,13
120,6,14
133,6,15
164,6,16
119,6,17
148,6,18
171,6,19
203,6,20
170,6,21
264,6,22
215,6,23
