delay_s,day,month
66,1,1
125,1,2
153,1,3
84,1,4
147,1,5
162,1,6
131,1,7
128,1,8
125,1,9
226,1,10
107,1,11
162,1,12
61,2,1
188,2,2
140,2,3
39,2,4
216,2,5
157,2,6
55,2,7
100,2,8
187,2,9
324,2,10
1831,2,11
160,2,12
109,3,1
375,3,2
245,3,3
223,3,4
253,3,5
129,3,6
376,3,7
116,3,8
136,3,9
214,3,10
253,3,11
165,3,12
75,4,1
346,4,2
127,4,3
141,4,4
160,4,5
133,4,6
143,4,7
88,4,8
107,4,9
220,4,10
193,4,11
296,4,12
96,5,1
88,5,2
102,5,3
243,5,4
306,5,5
273,5,6
164,5,7
53,5,8
150,5,9
215,5,10
183,5,11
207,5,12
99,6,1
411,6,2
190,6,3
134,6,4
176,6,5
152,6,6
188,6,7
155,6,8
228,6,9
212,6,10
269,6,11
74,6,12
168,7,1
177,7,2
282,7,3
96,7,4
135,7,5
130,7,6
230,7,7
80,7,8
112,7,9
133,7,10
212,7,11
172,7,12
69,8,1
202,8,2
271,8,3
95,8,4
167,8,5
180,8,6
242,8,7
85,8,8
373,8,9
129,8,10
96,8,11
257,8,12
208,9,1
166,9,2
191,9,3
130,9,4
152,9,5
300,9,6
128,9,7
80,9,8
224,9,9
190,9,10
114,9,11
205,9,12
230,10,1
168,10,2
107,10,3
67,10,4
184,10,5
369,10,6
175,10,7
357,10,8
180,10,9
354,10,10
249,10,11
149,10,12
138,11,1
110,11,2
136,11,3
327,11,4
241,11,5
284,11,6
163,11,7
153,11,8
298,11,9
188,11,10
135,11,11
252,11,12
231,12,1
88,12,2
165,12,3
101,12,4
169,12,5
226,12,6
176,12,7
106,12,8
190,12,9
236,12,10
103,12,11
208,12,12
264,13,1
158,13,2
150,13,3
375,13,4
174,13,5
279,13,6
109,13,7
216,13,8
129,13,9
270,13,10
221,13,11
149,13,12
113,14,1
394,14,2
194,14,3
156,14,4
89,14,5
199,14,6
115,14,7
100,14,8
161,14,9
154,14,10
337,14,11
141,14,12
38,15,1
266,15,2
182,15,3
84,15,4
618,15,5
156,15,6
107,15,7
155,15,8
164,15,9
229,15,10
236,15,11
175,15,12
126,16,1
166,16,2
187,16,3
83,16,4
220,16,5
230,16,6
78,16,7
132,16,8
175,16,9
192,16,10
279,16,11
101,16,12
148,17,1
178,17,2
184,17,3
125,17,4
333,17,5
189,17,6
168,17,7
87,17,8
226,17,9
111,17,10
312,17,11
113,17,12
141,18,1
390,18,2
148,18,3
244,18,4
135,18,5
129,18,6
94,18,7
108,18,8
205,18,9
217,18,10
178,18,11
221,18,12
125,19,1
175,19,2
171,19,3
128,19,4
140,19,5
249,19,6
94,19,7
168,19,8
126,19,9
173,19,10
183,19,11
170,19,12
136,20,1
186,20,2
98,20,3
292,20,4
124,20,5
192,20,6
98,20,7
112,20,8
151,20,9
232,20,10
286,20,11
151,20,12
80,21,1
184,21,2
149,21,3
176,21,4
135,21,5
167,21,6
95,21,7
181,21,8
290,21,9
101,21,10
322,21,11
167,21,12
132,22,1
146,22,2
149,22,3
130,22,4
145,22,5
154,22,6
84,22,7
100,22,8
168,22,9
106,22,10
229,22,11
127,22,12
158,23,1
138,23,2
167,23,3
145,23,4
150,23,5
413,23,6
119,23,7
118,23,8
84,23,9
207,23,10
228,23,11
36,23,12
183,24,1
237,24,2
134,24,3
228,24,4
172,24,5
122,24,6
94,24,7
156,24,8
86,24,9
179,24,10
287,24,11
63,24,12
139,25,1
104,25,2
274,25,3
152,25,4
168,25,5
147,25,6
76,25,7
147,25,8
206,25,9
327,25,10
221,25,11
34,25,12
149,26,1
111,26,2
139,26,3
213,26,4
230,26,5
221,26,6
94,26,7
191,26,8
160,26,9
176,26,10
277,26,11
132,26,12
162,27,1
220,27,2
202,27,3
140,27,4
248,27,5
180,27,6
168,27,7
136,27,8
207,27,9
257,27,10
180,27,11
103,27,12
99,28,1
136,28,2
134,28,3
216,28,4
268,28,5
187,28,6
131,28,7
203,28,8
202,28,9
133,28,10
267,28,11
118,28,12
95,29,1
167,29,3
295,29,4
148,29,5
169,29,6
133,29,7
167,29,8
244,29,9
150,29,10
202,29,11
100,29,12
161,30,1
443,30,3
143,30,4
167,30,5
135,30,6
86,30,7
157,30,8
167,30,9
174,30,10
295,30,11
68,30,12
172,31,1
209,31,3
155,31,5
105,31,7
119,31,8
232,31,10
57,31,12
