delay,day,month
79,1,1
101,1,2
117,1,3
100,1,4
111,1,5
135,1,6
132,1,7
127,1,8
112,1,9
191,1,10
91,1,11
140,1,12
62,2,1
153,2,2
126,2,3
62,2,4
214,2,5
142,2,6
73,2,7
103,2,8
140,2,9
286,2,10
1541,2,11
127,2,12
97,3,1
332,3,2
217,3,3
233,3,4
218,3,5
118,3,6
343,3,7
118,3,8
97,3,9
172,3,10
224,3,11
125,3,12
73,4,1
274,4,2
85,4,3
133,4,4
137,4,5
126,4,6
140,4,7
96,4,8
115,4,9
202,4,10
166,4,11
255,4,12
92,5,1
67,5,2
70,5,3
228,5,4
291,5,5
243,5,6
159,5,7
50,5,8
164,5,9
201,5,10
161,5,11
157,5,12
97,6,1
377,6,2
154,6,3
137,6,4
154,6,5
118,6,6
179,6,7
144,6,8
219,6,9
177,6,10
258,6,11
89,6,12
110,7,1
143,7,2
240,7,3
109,7,4
133,7,5
91,7,6
230,7,7
84,7,8
121,7,9
110,7,10
193,7,11
169,7,12
72,8,1
189,8,2
201,8,3
94,8,4
142,8,5
161,8,6
209,8,7
86,8,8
330,8,9
112,8,10
116,8,11
222,8,12
192,9,1
147,9,2
163,9,3
153,9,4
131,9,5
264,9,6
130,9,7
84,9,8
211,9,9
141,9,10
121,9,11
132,9,12
202,10,1
126,10,2
93,10,3
71,10,4
146,10,5
374,10,6
163,10,7
347,10,8
164,10,9
296,10,10
239,10,11
127,10,12
120,11,1
109,11,2
111,11,3
307,11,4
250,11,5
286,11,6
172,11,7
135,11,8
275,11,9
150,11,10
130,11,11
228,11,12
180,12,1
70,12,2
131,12,3
90,12,4
149,12,5
202,12,6
188,12,7
98,12,8
167,12,9
186,12,10
79,12,11
197,12,12
229,13,1
129,13,2
122,13,3
304,13,4
178,13,5
210,13,6
98,13,7
238,13,8
117,13,9
243,13,10
191,13,11
151,13,12
93,14,1
373,14,2
150,14,3
150,14,4
99,14,5
144,14,6
109,14,7
128,14,8
132,14,9
137,14,10
284,14,11
135,14,12
49,15,1
179,15,2
137,15,3
106,15,4
604,15,5
138,15,6
116,15,7
175,15,8
153,15,9
235,15,10
189,15,11
169,15,12
93,16,1
133,16,2
156,16,3
87,16,4
198,16,5
217,16,6
93,16,7
125,16,8
162,16,9
152,16,10
221,16,11
114,16,12
121,17,1
140,17,2
186,17,3
105,17,4
303,17,5
141,17,6
169,17,7
104,17,8
234,17,9
107,17,10
285,17,11
82,17,12
107,18,1
353,18,2
133,18,3
216,18,4
126,18,5
102,18,6
100,18,7
119,18,8
184,18,9
166,18,10
165,18,11
187,18,12
105,19,1
128,19,2
149,19,3
104,19,4
121,19,5
222,19,6
102,19,7
194,19,8
116,19,9
163,19,10
177,19,11
157,19,12
111,20,1
160,20,2
81,20,3
256,20,4
91,20,5
169,20,6
91,20,7
156,20,8
132,20,9
186,20,10
240,20,11
131,20,12
82,21,1
156,21,2
143,21,3
152,21,4
107,21,5
144,21,6
89,21,7
171,21,8
239,21,9
88,21,10
238,21,11
147,21,12
147,22,1
134,22,2
108,22,3
124,22,4
91,22,5
123,22,6
92,22,7
94,22,8
139,22,9
100,22,10
192,22,11
113,22,12
132,23,1
128,23,2
142,23,3
147,23,4
121,23,5
358,23,6
111,23,7
100,23,8
80,23,9
191,23,10
175,23,11
63,23,12
153,24,1
188,24,2
134,24,3
221,24,4
143,24,5
117,24,6
91,24,7
125,24,8
110,24,9
165,24,10
249,24,11
80,24,12
122,25,1
85,25,2
262,25,3
134,25,4
147,25,5
161,25,6
90,25,7
121,25,8
154,25,9
284,25,10
138,25,11
51,25,12
124,26,1
106,26,2
108,26,3
157,26,4
206,26,5
193,26,6
105,26,7
216,26,8
137,26,9
167,26,10
206,26,11
156,26,12
148,27,1
163,27,2
163,27,3
119,27,4
182,27,5
148,27,6
153,27,7
193,27,8
188,27,9
247,27,10
152,27,11
106,27,12
72,28,1
107,28,2
123,28,3
187,28,4
239,28,5
176,28,6
121,28,7
179,28,8
192,28,9
111,28,10
227,28,11
135,28,12
74,29,1
150,29,3
279,29,4
127,29,5
140,29,6
118,29,7
159,29,8
231,29,9
107,29,10
168,29,11
99,29,12
145,30,1
480,30,3
142,30,4
139,30,5
131,30,6
79,30,7
133,30,8
156,30,9
154,30,10
284,30,11
63,30,12
138,31,1
180,31,3
133,31,5
90,31,7
114,31,8
183,31,10
66,31,12
